Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long,XYZ
1500568494940,lauren,PebbleTimeSteel,-527,-255,-569,30.6192874,-96.339554,Z
1500568494980,lauren,PebbleTimeSteel,-1061,156,-880,30.6192874,-96.339554,X
1500568495020,lauren,PebbleTimeSteel,-331,30,-1050,30.6192874,-96.339554,X
1500568495060,lauren,PebbleTimeSteel,37,121,-936,30.6192874,-96.339554,Y
1500568495100,lauren,PebbleTimeSteel,-259,-213,-841,30.6192874,-96.339554,Y
1500568495140,lauren,PebbleTimeSteel,-172,-179,-750,30.6192874,-96.339554,Z
1500568495180,lauren,PebbleTimeSteel,-58,161,-698,30.6192874,-96.339554,X
1500568495220,lauren,PebbleTimeSteel,-868,113,-703,30.6192874,-96.339554,X
1500568495260,lauren,PebbleTimeSteel,-505,-74,-821,30.6192874,-96.339554,X
1500568495300,lauren,PebbleTimeSteel,-439,132,-531,30.6192874,-96.339554,X
1500568495340,lauren,PebbleTimeSteel,-572,556,-671,30.6192874,-96.339554,Y
1500568495380,lauren,PebbleTimeSteel,-334,-22,-937,30.6192874,-96.339554,X
1500568495420,lauren,PebbleTimeSteel,-60,-60,-1035,30.6192874,-96.339554,X
1500568495460,lauren,PebbleTimeSteel,-872,-184,204,30.6192874,-96.339554,X
1500568495500,lauren,PebbleTimeSteel,-687,-260,-903,30.6192874,-96.339554,Z
1500568495540,lauren,PebbleTimeSteel,-121,-172,-701,30.6192874,-96.339554,Z
1500568495580,lauren,PebbleTimeSteel,-184,189,-1066,30.6192874,-96.339554,X
1500568495620,lauren,PebbleTimeSteel,-386,41,-434,30.6192874,-96.339554,X
1500568495660,lauren,PebbleTimeSteel,-382,609,-976,30.6192874,-96.339554,Z
1500568495700,lauren,PebbleTimeSteel,-415,107,-555,30.6192874,-96.339554,Y
1500568495740,lauren,PebbleTimeSteel,102,322,-1071,30.6192874,-96.339554,Y
1500568495780,lauren,PebbleTimeSteel,-205,-61,-897,30.6192874,-96.339554,X
1500568495820,lauren,PebbleTimeSteel,186,54,-1489,30.6192874,-96.339554,Z
1500568495860,lauren,PebbleTimeSteel,-316,-78,-856,30.6192874,-96.339554,X
1500568495900,lauren,PebbleTimeSteel,-503,144,-939,30.6192874,-96.339554,X
1500568495940,lauren,PebbleTimeSteel,-496,-58,-489,30.6192874,-96.339554,Z
1500568495980,lauren,PebbleTimeSteel,98,167,-1771,30.6192874,-96.339554,Z
1500568496020,lauren,PebbleTimeSteel,335,305,-1021,30.6192874,-96.339554,Z
1500568496060,lauren,PebbleTimeSteel,-652,-282,-1538,30.6192874,-96.339554,Y
1500568496100,lauren,PebbleTimeSteel,-173,-323,-1109,30.6192874,-96.339554,Z
1500568496140,lauren,PebbleTimeSteel,-355,96,-997,30.6192874,-96.339554,X
1500568496180,lauren,PebbleTimeSteel,-223,42,-1463,30.6192874,-96.339554,X
1500568496220,lauren,PebbleTimeSteel,-174,-25,-658,30.6192874,-96.339554,Z
1500568496260,lauren,PebbleTimeSteel,-379,92,-1514,30.6192874,-96.339554,Y
1500568496300,lauren,PebbleTimeSteel,-210,214,-624,30.6192874,-96.339554,Y
1500568496340,lauren,PebbleTimeSteel,-408,236,-1291,30.6192874,-96.339554,Y
1500568496380,lauren,PebbleTimeSteel,-801,357,-515,30.6192874,-96.339554,Z
1500568496420,lauren,PebbleTimeSteel,-11,-167,-919,30.6192874,-96.339554,Z
1500568496460,lauren,PebbleTimeSteel,-369,19,-1055,30.6192874,-96.339554,X
1500568496500,lauren,PebbleTimeSteel,-14,-17,-213,30.6192874,-96.339554,Z
1500568496540,lauren,PebbleTimeSteel,-705,233,-408,30.6192874,-96.339554,Y
1500568496580,lauren,PebbleTimeSteel,-179,341,-1078,30.6192874,-96.339554,Y
1500568496620,lauren,PebbleTimeSteel,-411,-178,-628,30.6192874,-96.339554,X
1500568496660,lauren,PebbleTimeSteel,-587,87,-1182,30.6192874,-96.339554,Z
1500568496700,lauren,PebbleTimeSteel,-214,-29,-755,30.6192874,-96.339554,Y
1500568496740,lauren,PebbleTimeSteel,-793,100,-245,30.6192874,-96.339554,Y
1500568496780,lauren,PebbleTimeSteel,-641,-351,-1036,30.6192874,-96.339554,X
1500568496820,lauren,PebbleTimeSteel,-316,-33,-1077,30.6192874,-96.339554,Y
1500568496860,lauren,PebbleTimeSteel,-264,-67,-807,30.6192874,-96.339554,Z
1500568496900,lauren,PebbleTimeSteel,-300,366,-629,30.6192874,-96.339554,Y
1500568496940,lauren,PebbleTimeSteel,-279,-47,-1175,30.6192874,-96.339554,X
1500568496980,lauren,PebbleTimeSteel,-251,-57,-811,30.6192874,-96.339554,Y
1500568497020,lauren,PebbleTimeSteel,-452,-40,-755,30.6192874,-96.339554,Z
1500568497060,lauren,PebbleTimeSteel,-458,-77,-1020,30.6192874,-96.339554,Y
1500568497100,lauren,PebbleTimeSteel,-281,202,-965,30.6192874,-96.339554,X
1500568497140,lauren,PebbleTimeSteel,-224,36,-648,30.6192874,-96.339554,Z
1500568497180,lauren,PebbleTimeSteel,-431,0,-948,30.6192874,-96.339554,Z
1500568497220,lauren,PebbleTimeSteel,-535,257,-824,30.6192874,-96.339554,Y
1500568497260,lauren,PebbleTimeSteel,-422,-200,-412,30.6192874,-96.339554,Z
1500568497300,lauren,PebbleTimeSteel,-202,-4,-1101,30.6192874,-96.339554,Z
1500568497340,lauren,PebbleTimeSteel,-783,-18,-519,30.6192874,-96.339554,Y
1500568497380,lauren,PebbleTimeSteel,-875,-8,-445,30.6192874,-96.339554,X
1500568497420,lauren,PebbleTimeSteel,-289,14,-492,30.6192874,-96.339554,Z
1500568497460,lauren,PebbleTimeSteel,-304,-56,-703,30.6192874,-96.339554,Z
1500568497500,lauren,PebbleTimeSteel,-770,88,-1007,30.6192874,-96.339554,X
1500568497540,lauren,PebbleTimeSteel,-634,53,-445,30.6192874,-96.339554,X
1500568497580,lauren,PebbleTimeSteel,-536,-108,-591,30.6192874,-96.339554,Z
1500568497620,lauren,PebbleTimeSteel,-599,7,-828,30.6192874,-96.339554,Z
1500568497660,lauren,PebbleTimeSteel,-220,173,-1102,30.6192874,-96.339554,Z
1500568497700,lauren,PebbleTimeSteel,-238,120,-734,30.6192874,-96.339554,Z
1500568497740,lauren,PebbleTimeSteel,-320,173,-38,30.6192874,-96.339554,X
1500568497780,lauren,PebbleTimeSteel,-766,-223,-811,30.6192874,-96.339554,Y
1500568497820,lauren,PebbleTimeSteel,-743,-3,-906,30.6192874,-96.339554,Z
1500568497860,lauren,PebbleTimeSteel,-556,-37,-963,30.6192874,-96.339554,X
1500568497900,lauren,PebbleTimeSteel,-648,3,-553,30.6192874,-96.339554,Z
1500568497940,lauren,PebbleTimeSteel,-946,160,-676,30.6192874,-96.339554,Y
1500568497980,lauren,PebbleTimeSteel,-311,59,-528,30.6192874,-96.339554,Y
1500568498020,lauren,PebbleTimeSteel,-169,67,-1045,30.6192874,-96.339554,Z
1500568498060,lauren,PebbleTimeSteel,-390,-141,-1271,30.6192874,-96.339554,Z
1500568498110,lauren,PebbleTimeSteel,38,60,-1627,30.6192874,-96.339554,Y
1500568498150,lauren,PebbleTimeSteel,-536,114,-381,30.6192874,-96.339554,Y
1500568498190,lauren,PebbleTimeSteel,333,-124,-289,30.6192874,-96.339554,Y
1500568498230,lauren,PebbleTimeSteel,-425,124,-1185,30.6192874,-96.339554,Y
1500568498270,lauren,PebbleTimeSteel,-235,-67,-913,30.6192874,-96.339554,Z
1500568498300,lauren,PebbleTimeSteel,-148,-81,-1135,30.6192874,-96.339554,X
1500568498340,lauren,PebbleTimeSteel,-183,91,-1215,30.6192874,-96.339554,X
1500568498380,lauren,PebbleTimeSteel,-525,68,-346,30.6192874,-96.339554,Z
1500568498420,lauren,PebbleTimeSteel,-411,112,-843,30.6192874,-96.339554,Z
1500568498460,lauren,PebbleTimeSteel,-43,-152,-1919,30.6192874,-96.339554,X
1500568498500,lauren,PebbleTimeSteel,-368,41,-683,30.6192874,-96.339554,Z
1500568498540,lauren,PebbleTimeSteel,-494,20,-829,30.6192874,-96.339554,X
1500568498580,lauren,PebbleTimeSteel,-197,77,-810,30.6192874,-96.339554,Y
1500568498620,lauren,PebbleTimeSteel,-240,180,-1008,30.6192874,-96.339554,Z
1500568498660,lauren,PebbleTimeSteel,-249,-261,-644,30.6192874,-96.339554,Y
1500568498700,lauren,PebbleTimeSteel,-7,31,-1289,30.6192874,-96.339554,Y
1500568498740,lauren,PebbleTimeSteel,-109,122,-884,30.6192874,-96.339554,X
1500568498780,lauren,PebbleTimeSteel,-65,202,-1114,30.6192874,-96.339554,X
1500568498820,lauren,PebbleTimeSteel,-326,201,-1266,30.6192874,-96.339554,Y
1500568498860,lauren,PebbleTimeSteel,-293,171,-651,30.6192874,-96.339554,Y
1500568498910,lauren,PebbleTimeSteel,-418,139,-1549,30.6192874,-96.339554,Y
1500568498950,lauren,PebbleTimeSteel,-409,210,-718,30.6192874,-96.339554,Y
1500568498990,lauren,PebbleTimeSteel,-269,-1,-1384,30.6192874,-96.339554,Z
1500568499030,lauren,PebbleTimeSteel,-439,-7,-534,30.6192874,-96.339554,Y
1500568499070,lauren,PebbleTimeSteel,-317,-543,-561,30.6192874,-96.339554,Z
1500568499110,lauren,PebbleTimeSteel,-363,-143,-1145,30.6192874,-96.339554,Y
1500568499150,lauren,PebbleTimeSteel,-403,-68,-723,30.6192874,-96.339554,X
1500568499190,lauren,PebbleTimeSteel,-639,685,-1274,30.6192874,-96.339554,X
1500568499230,lauren,PebbleTimeSteel,-200,86,-887,30.6192874,-96.339554,Z
1500568499270,lauren,PebbleTimeSteel,-359,291,-562,30.6192874,-96.339554,Z
1500568499300,lauren,PebbleTimeSteel,-653,-122,-1155,30.6192874,-96.339554,Y
1500568499340,lauren,PebbleTimeSteel,-592,-226,-682,30.6192874,-96.339554,Y
1500568499380,lauren,PebbleTimeSteel,-73,-70,-1295,30.6192874,-96.339554,X
1500568499420,lauren,PebbleTimeSteel,-427,4,-767,30.6192874,-96.339554,X
1500568499460,lauren,PebbleTimeSteel,-406,-459,-135,30.6192874,-96.339554,X
1500568499510,lauren,PebbleTimeSteel,-302,-200,-1291,30.6192874,-96.339554,Y
1500568499550,lauren,PebbleTimeSteel,182,107,-1913,30.6192874,-96.339554,Y
1500568499590,lauren,PebbleTimeSteel,-305,-264,-136,30.6192874,-96.339554,Y
1500568499630,lauren,PebbleTimeSteel,-368,213,-672,30.6192874,-96.339554,Y
1500568499670,lauren,PebbleTimeSteel,-22,227,-1117,30.6192874,-96.339554,X
1500568499710,lauren,PebbleTimeSteel,-550,32,-619,30.6192874,-96.339554,Z
1500568499750,lauren,PebbleTimeSteel,-74,102,-759,30.6192874,-96.339554,Z
1500568499790,lauren,PebbleTimeSteel,-868,-78,-904,30.6192874,-96.339554,Y
1500568499830,lauren,PebbleTimeSteel,-572,-5,-766,30.6192874,-96.339554,X
1500568499870,lauren,PebbleTimeSteel,181,-49,-573,30.6192874,-96.339554,X
1500568499910,lauren,PebbleTimeSteel,-206,73,-674,30.6192874,-96.339554,Z
1500568499950,lauren,PebbleTimeSteel,-293,149,-1354,30.6192874,-96.339554,Z
1500568499990,lauren,PebbleTimeSteel,-245,-25,-707,30.6192874,-96.339554,X
1500568500030,lauren,PebbleTimeSteel,160,90,-846,30.6192874,-96.339554,Z
1500568500070,lauren,PebbleTimeSteel,-845,61,-55,30.6192874,-96.339554,Y
1500568500110,lauren,PebbleTimeSteel,-590,-39,-753,30.6192874,-96.339554,Z
1500568500150,lauren,PebbleTimeSteel,-548,-90,-857,30.6192874,-96.339554,X
1500568500190,lauren,PebbleTimeSteel,-313,96,-758,30.6192874,-96.339554,Y
1500568500230,lauren,PebbleTimeSteel,-468,-42,-506,30.6192874,-96.339554,Y
1500568500270,lauren,PebbleTimeSteel,-27,-138,-832,30.6192874,-96.339554,X
1500568500310,lauren,PebbleTimeSteel,-267,-143,-1206,30.6192874,-96.339554,Z
1500568500350,lauren,PebbleTimeSteel,-5,239,-482,30.6192874,-96.339554,Z
1500568500390,lauren,PebbleTimeSteel,172,164,-1535,30.6192874,-96.339554,X
1500568500430,lauren,PebbleTimeSteel,-203,57,-660,30.6192874,-96.339554,X
1500568500470,lauren,PebbleTimeSteel,-506,-97,-840,30.6192874,-96.339554,X
1500568500510,lauren,PebbleTimeSteel,-328,-29,-828,30.6192874,-96.339554,X
1500568500550,lauren,PebbleTimeSteel,-259,-89,-713,30.6192874,-96.339554,X
1500568500590,lauren,PebbleTimeSteel,-253,208,-1009,30.6192874,-96.339554,Z
1500568500630,lauren,PebbleTimeSteel,-715,7,-574,30.6192874,-96.339554,X
1500568500670,lauren,PebbleTimeSteel,-437,134,-655,30.6192874,-96.339554,X
1500568500710,lauren,PebbleTimeSteel,-507,-189,-425,30.6192874,-96.339554,Z
1500568500750,lauren,PebbleTimeSteel,-59,-172,-1321,30.6192874,-96.339554,Y
1500568500790,lauren,PebbleTimeSteel,-452,5,-839,30.6192874,-96.339554,Y
1500568500830,lauren,PebbleTimeSteel,-487,-140,-646,30.6192874,-96.339554,Z
1500568500870,lauren,PebbleTimeSteel,-613,-74,-700,30.6192874,-96.339554,Z
1500568500910,lauren,PebbleTimeSteel,-436,-262,-154,30.6192874,-96.339554,Z
1500568500950,lauren,PebbleTimeSteel,-437,-123,-1124,30.6192874,-96.339554,Z
1500568500990,lauren,PebbleTimeSteel,-421,-25,-621,30.6192874,-96.339554,Y
1500568501030,lauren,PebbleTimeSteel,-129,37,-1219,30.6192874,-96.339554,X
1500568501070,lauren,PebbleTimeSteel,-581,-70,-954,30.6192874,-96.339554,X
1500568501110,lauren,PebbleTimeSteel,-570,-112,-29,30.6192874,-96.339554,X
1500568501150,lauren,PebbleTimeSteel,-488,-108,-981,30.6192874,-96.339554,Z
1500568501190,lauren,PebbleTimeSteel,-225,479,-673,30.6192874,-96.339554,Y
1500568501230,lauren,PebbleTimeSteel,-211,49,-978,30.6192874,-96.339554,Z
1500568501270,lauren,PebbleTimeSteel,-525,-69,-671,30.6192874,-96.339554,Z
1500568501310,lauren,PebbleTimeSteel,-539,-444,-132,30.6192874,-96.339554,Y
1500568501350,lauren,PebbleTimeSteel,-328,-190,-832,30.6192874,-96.339554,Z
1500568501390,lauren,PebbleTimeSteel,-452,7,-344,30.6192874,-96.339554,Z
1500568501430,lauren,PebbleTimeSteel,-20,-338,-610,30.6192874,-96.339554,Z
1500568501470,lauren,PebbleTimeSteel,-293,-9,-1084,30.6192874,-96.339554,Y
1500568501510,lauren,PebbleTimeSteel,-330,83,-903,30.6192874,-96.339554,Z
1500568501550,lauren,PebbleTimeSteel,-757,-65,-821,30.6192874,-96.339554,Y
1500568501590,lauren,PebbleTimeSteel,-493,-94,-455,30.6192874,-96.339554,X
1500568501630,lauren,PebbleTimeSteel,-461,-211,-617,30.6192874,-96.339554,Y
1500568501670,lauren,PebbleTimeSteel,-459,-28,-781,30.6192874,-96.339554,Z
1500568501710,lauren,PebbleTimeSteel,-712,-244,-890,30.6192874,-96.339554,X
1500568501750,lauren,PebbleTimeSteel,-172,-58,-902,30.6192874,-96.339554,Y
1500568501790,lauren,PebbleTimeSteel,-376,63,-703,30.6192874,-96.339554,X
1500568501830,lauren,PebbleTimeSteel,-329,44,-1104,30.6192874,-96.339554,Z
1500568501870,lauren,PebbleTimeSteel,-243,-14,-1292,30.6192874,-96.339554,Z
1500568501920,lauren,PebbleTimeSteel,-199,304,-638,30.6192874,-96.339554,Z
1500568501960,lauren,PebbleTimeSteel,-80,64,-1103,30.6192874,-96.339554,Z
1500568502000,lauren,PebbleTimeSteel,-294,55,-970,30.6192874,-96.339554,X
1500568502040,lauren,PebbleTimeSteel,-227,170,-539,30.6192874,-96.339554,Z
