Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long,XYZ
1500568814360,maeve,PebbleTimeSteel,-339,74,-320,30.6189364,-96.3397255,Y
1500568814400,maeve,PebbleTimeSteel,-498,-54,-1106,30.6189364,-96.3397255,Y
1500568814440,maeve,PebbleTimeSteel,-282,-86,-134,30.6189364,-96.3397255,Z
1500568814480,maeve,PebbleTimeSteel,-332,94,-1193,30.6189364,-96.3397255,Z
1500568814520,maeve,PebbleTimeSteel,-28,135,-663,30.6189364,-96.3397255,X
1500568814560,maeve,PebbleTimeSteel,-567,77,-633,30.6189364,-96.3397255,Z
1500568814600,maeve,PebbleTimeSteel,-466,-48,-1010,30.6189364,-96.3397255,Y
1500568814640,maeve,PebbleTimeSteel,-409,-68,-904,30.6189364,-96.3397255,X
1500568814680,maeve,PebbleTimeSteel,-466,-192,-418,30.6189364,-96.3397255,X
1500568814720,maeve,PebbleTimeSteel,-514,-17,-754,30.6189364,-96.3397255,Y
1500568814760,maeve,PebbleTimeSteel,-402,-14,-513,30.6189364,-96.3397255,Y
1500568814800,maeve,PebbleTimeSteel,-61,69,-1446,30.6189364,-96.3397255,X
1500568814840,maeve,PebbleTimeSteel,-798,-169,-475,30.6189364,-96.3397255,Z
1500568814880,maeve,PebbleTimeSteel,-239,-162,-955,30.6189364,-96.3397255,X
1500568814920,maeve,PebbleTimeSteel,-827,-208,-629,30.6189364,-96.3397255,X
1500568814960,maeve,PebbleTimeSteel,-329,-81,-947,30.6189364,-96.3397255,X
1500568815000,maeve,PebbleTimeSteel,-810,-7,-975,30.6189364,-96.3397255,Z
1500568815040,maeve,PebbleTimeSteel,-251,157,-1041,30.6189364,-96.3397255,X
1500568815080,maeve,PebbleTimeSteel,20,93,-1458,30.6189364,-96.3397255,X
1500568815120,maeve,PebbleTimeSteel,-252,22,-585,30.6189364,-96.3397255,Y
1500568815160,maeve,PebbleTimeSteel,-340,-7,-1273,30.6189364,-96.3397255,X
1500568815200,maeve,PebbleTimeSteel,-317,166,-638,30.6189364,-96.3397255,Z
1500568815240,maeve,PebbleTimeSteel,-41,123,-1145,30.6189364,-96.3397255,Y
1500568815280,maeve,PebbleTimeSteel,19,80,-739,30.6189364,-96.3397255,Z
1500568815320,maeve,PebbleTimeSteel,30,178,-862,30.6189364,-96.3397255,Z
1500568815360,maeve,PebbleTimeSteel,-198,143,-1317,30.6189364,-96.3397255,Y
1500568815400,maeve,PebbleTimeSteel,-350,103,-899,30.6189364,-96.3397255,Y
1500568815440,maeve,PebbleTimeSteel,-227,24,-608,30.6189364,-96.3397255,Z
1500568815480,maeve,PebbleTimeSteel,-359,148,-1641,30.6189364,-96.3397255,Z
1500568815520,maeve,PebbleTimeSteel,-349,-179,-207,30.6189364,-96.3397255,X
1500568815560,maeve,PebbleTimeSteel,-734,172,-1270,30.6189364,-96.3397255,Y
1500568815600,maeve,PebbleTimeSteel,12,142,-1443,30.6189364,-96.3397255,X
1500568815640,maeve,PebbleTimeSteel,-57,237,-1421,30.6189364,-96.3397255,X
1500568815680,maeve,PebbleTimeSteel,4,282,-310,30.6189364,-96.3397255,Z
1500568815720,maeve,PebbleTimeSteel,-970,180,-1304,30.6189364,-96.3397255,X
1500568815760,maeve,PebbleTimeSteel,137,-415,174,30.6189364,-96.3397255,Z
1500568815800,maeve,PebbleTimeSteel,-479,246,-1110,30.6189364,-96.3397255,X
1500568815840,maeve,PebbleTimeSteel,-204,-138,-743,30.6189364,-96.3397255,Y
1500568815880,maeve,PebbleTimeSteel,-518,-120,-1339,30.6189364,-96.3397255,Y
1500568815920,maeve,PebbleTimeSteel,-748,-102,-547,30.6189364,-96.3397255,Y
1500568815960,maeve,PebbleTimeSteel,4,59,-753,30.6189364,-96.3397255,Y
1500568816000,maeve,PebbleTimeSteel,-912,-146,-749,30.6189364,-96.3397255,Z
1500568816040,maeve,PebbleTimeSteel,-231,-86,-834,30.6189364,-96.3397255,Y
1500568816080,maeve,PebbleTimeSteel,-159,157,-875,30.6189364,-96.3397255,Y
1500568816120,maeve,PebbleTimeSteel,-228,142,-121,30.6189364,-96.3397255,Y
1500568816160,maeve,PebbleTimeSteel,21,-45,-1722,30.6189364,-96.3397255,Y
1500568816200,maeve,PebbleTimeSteel,-356,254,-448,30.6189364,-96.3397255,Y
1500568816240,maeve,PebbleTimeSteel,-363,129,-1205,30.6189364,-96.3397255,Y
1500568816280,maeve,PebbleTimeSteel,-743,-21,70,30.6189364,-96.3397255,Z
1500568816320,maeve,PebbleTimeSteel,-643,-263,-1119,30.6189364,-96.3397255,X
1500568816360,maeve,PebbleTimeSteel,-711,-59,-852,30.6189364,-96.3397255,Y
1500568816400,maeve,PebbleTimeSteel,-291,108,-1566,30.6189364,-96.3397255,X
1500568816440,maeve,PebbleTimeSteel,-409,-20,-526,30.6189364,-96.3397255,Y
1500568816490,maeve,PebbleTimeSteel,-29,235,-1013,30.6189364,-96.3397255,X
1500568816530,maeve,PebbleTimeSteel,-276,-299,-361,30.6189364,-96.3397255,X
1500568816570,maeve,PebbleTimeSteel,-97,160,-556,30.6189364,-96.3397255,Z
1500568816610,maeve,PebbleTimeSteel,-114,70,-1342,30.6189364,-96.3397255,Y
1500568816650,maeve,PebbleTimeSteel,-290,6,-443,30.6189364,-96.3397255,X
1500568816690,maeve,PebbleTimeSteel,-430,-130,-821,30.6189364,-96.3397255,Z
1500568816730,maeve,PebbleTimeSteel,-309,-35,-241,30.6189364,-96.3397255,Y
1500568816770,maeve,PebbleTimeSteel,-147,-88,-1678,30.6189364,-96.3397255,X
1500568816810,maeve,PebbleTimeSteel,-355,157,-630,30.6189364,-96.3397255,Y
1500568816850,maeve,PebbleTimeSteel,-434,-92,-1021,30.6189364,-96.3397255,Y
1500568816880,maeve,PebbleTimeSteel,-104,-108,-779,30.6189364,-96.3397255,Z
1500568816920,maeve,PebbleTimeSteel,-696,-38,-580,30.6189364,-96.3397255,X
