Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long,XYZ
1500576160020,daniel,motorola-XT1096,-1.244984865,10.20887566,-2.135627985,30.6189558,-96.3395048,X
1500576160090,daniel,motorola-XT1096,-1.398213744,10.11310768,-2.19308877,30.6189558,-96.3395048,X
1500576160140,daniel,motorola-XT1096,-1.158793569,10.66856289,-2.633621931,30.6189558,-96.3395048,Y
1500576160200,daniel,motorola-XT1096,-1.063025594,10.40041256,-2.432508945,30.6189558,-96.3395048,Y
1500576160270,daniel,motorola-XT1096,-1.177947283,9.749189377,-2.52827692,30.6189558,-96.3395048,Z
1500576160340,daniel,motorola-XT1096,-0.651222885,10.91755962,-2.145204782,30.6189558,-96.3395048,X
1500576160380,daniel,motorola-XT1096,-0.536301196,9.979032516,-2.920926094,30.6189558,-96.3395048,Y
1500576160480,daniel,motorola-XT1096,-0.105344877,10.73560047,-3.064578056,30.6189558,-96.3395048,Y
1500576160510,daniel,motorola-XT1096,-1.982398987,10.0460701,-2.336740971,30.6189558,-96.3395048,Y
1500576160560,daniel,motorola-XT1096,-4.031835556,9.519346237,-2.001552582,30.6189558,-96.3395048,X
1500576160610,daniel,motorola-XT1096,-1.532289028,9.557653427,-2.250549555,30.6189558,-96.3395048,Y
1500576160690,daniel,motorola-XT1096,-2.355894566,11.26232433,-1.89620769,30.6189558,-96.3395048,X
1500576160730,daniel,motorola-XT1096,-2.126051188,9.299078941,-3.313575268,30.6189558,-96.3395048,X
1500576160790,daniel,motorola-XT1096,0.057460841,8.494627953,-4.702212334,30.6189558,-96.3395048,X
1500576160880,daniel,motorola-XT1096,1.56101954,9.634267807,-4.711789131,30.6189558,-96.3395048,Z
1500576160920,daniel,motorola-XT1096,0.555454791,9.241618156,-3.438073635,30.6189558,-96.3395048,X
1500576160970,daniel,motorola-XT1096,-0.746990919,10.01733971,-3.41892004,30.6189558,-96.3395048,Z
1500576161030,daniel,motorola-XT1096,1.513135433,11.81777954,-4.290409565,30.6189558,-96.3395048,Y
1500576161100,daniel,motorola-XT1096,-2.106897593,10.25675964,-5.027823448,30.6189558,-96.3395048,Z
1500576161170,daniel,motorola-XT1096,1.388636947,7.99663353,-3.667917013,30.6189558,-96.3395048,X
1500576161210,daniel,motorola-XT1096,0.316034615,6.732495308,-2.56658411,30.6189558,-96.3395048,Z
1500576161280,daniel,motorola-XT1096,-1.647210717,10.6111021,-2.681505919,30.6189558,-96.3395048,X
1500576161330,daniel,motorola-XT1096,-3.907337189,14.20240402,-1.302445769,30.6189558,-96.3395048,X
1500576161380,daniel,motorola-XT1096,-2.480392933,10.38125896,-3.141192675,30.6189558,-96.3395048,X
1500576161440,daniel,motorola-XT1096,-1.810016513,7.546523571,-3.179499865,30.6189558,-96.3395048,Y
1500576161510,daniel,motorola-XT1096,-4.529829502,11.81777954,-1.810016513,30.6189558,-96.3395048,X
1500576161560,daniel,motorola-XT1096,-2.19308877,7.556100369,-3.026270866,30.6189558,-96.3395048,Y
1500576161620,daniel,motorola-XT1096,-1.00556469,11.25274754,-1.675941229,30.6189558,-96.3395048,X
1500576161700,daniel,motorola-XT1096,-3.639186621,11.5783596,-2.557007313,30.6189558,-96.3395048,Z
1500576161740,daniel,motorola-XT1096,-0.708683729,10.98459721,-2.576161146,30.6189558,-96.3395048,Z
1500576161800,daniel,motorola-XT1096,0.478840351,7.7284832,-3.275267839,30.6189558,-96.3395048,Z
1500576161880,daniel,motorola-XT1096,0.641646028,11.66455078,-3.49553442,30.6189558,-96.3395048,Y
1500576161920,daniel,motorola-XT1096,-1.216254473,9.050082207,-3.725377798,30.6189558,-96.3395048,X
1500576161980,daniel,motorola-XT1096,-1.493981838,9.940725327,-3.035847664,30.6189558,-96.3395048,Y
1500576162040,daniel,motorola-XT1096,0.33518824,8.38928318,-2.729389906,30.6189558,-96.3395048,Y
1500576162100,daniel,motorola-XT1096,-0.565031588,9.117119789,-2.700659513,30.6189558,-96.3395048,Z
1500576162190,daniel,motorola-XT1096,-3.926490784,11.05163479,-3.16034627,30.6189558,-96.3395048,Y
1500576162210,daniel,motorola-XT1096,-0.306457818,8.820239067,-3.371036053,30.6189558,-96.3395048,X
1500576162270,daniel,motorola-XT1096,-1.733402014,9.155426979,-2.920926094,30.6189558,-96.3395048,X
1500576162330,daniel,motorola-XT1096,-2.738966703,10.21845245,-2.949656487,30.6189558,-96.3395048,X
1500576162390,daniel,motorola-XT1096,-0.708683729,9.39484787,-3.706224203,30.6189558,-96.3395048,X
1500576162470,daniel,motorola-XT1096,-0.497993946,8.628703117,-2.470816135,30.6189558,-96.3395048,X
1500576162510,daniel,motorola-XT1096,-0.957680702,10.64940929,-2.719813108,30.6189558,-96.3395048,X
1500576162570,daniel,motorola-XT1096,-0.804451764,10.64940929,-2.892195702,30.6189558,-96.3395048,X
1500576162630,daniel,motorola-XT1096,0.775721371,9.279925346,-3.016694069,30.6189558,-96.3395048,Z
1500576162690,daniel,motorola-XT1096,3.361459255,12.21042824,-2.968810081,30.6189558,-96.3395048,Z
1500576162760,daniel,motorola-XT1096,0.057460841,11.06121159,-2.863465309,30.6189558,-96.3395048,Y
1500576162800,daniel,motorola-XT1096,0.651222885,10.77390766,-3.600879431,30.6189558,-96.3395048,X
1500576162900,daniel,motorola-XT1096,1.321599364,8.303091049,-4.156333923,30.6189558,-96.3395048,Y
1500576162930,daniel,motorola-XT1096,-0.220266551,9.50976944,-3.208230257,30.6189558,-96.3395048,Z
1500576162980,daniel,motorola-XT1096,-1.551442742,10.60152531,-3.715801001,30.6189558,-96.3395048,Z
1500576163060,daniel,motorola-XT1096,-1.56101954,12.32535076,-3.734954596,30.6189558,-96.3395048,Y
1500576163110,daniel,motorola-XT1096,-0.603338838,8.485051155,-3.294421434,30.6189558,-96.3395048,Z
1500576163160,daniel,motorola-XT1096,-0.919373453,9.567230225,-2.930502892,30.6189558,-96.3395048,Y
1500576163220,daniel,motorola-XT1096,-1.18752408,10.83136845,-2.41335535,30.6189558,-96.3395048,Z
1500576163290,daniel,motorola-XT1096,-3.821146011,10.0269165,-1.723825216,30.6189558,-96.3395048,Z
1500576163350,daniel,motorola-XT1096,-1.89620769,7.153874874,-2.987963676,30.6189558,-96.3395048,Z
