Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long,XYZ
1500575689860,sam,PebbleTimeSteel,-420,-57,-441,30.6193044,-96.339069,X
1500575689900,sam,PebbleTimeSteel,-611,-58,-611,30.6193044,-96.339069,Z
1500575689940,sam,PebbleTimeSteel,-546,61,-765,30.6193044,-96.339069,X
1500575689980,sam,PebbleTimeSteel,-714,60,-607,30.6193044,-96.339069,Z
1500575690020,sam,PebbleTimeSteel,-346,21,-680,30.6193044,-96.339069,X
1500575690060,sam,PebbleTimeSteel,-330,64,-844,30.6193044,-96.339069,Y
1500575690100,sam,PebbleTimeSteel,-652,4,-369,30.6193044,-96.339069,Z
1500575690140,sam,PebbleTimeSteel,-483,160,-569,30.6193044,-96.339069,Z
1500575690180,sam,PebbleTimeSteel,-619,128,-649,30.6193044,-96.339069,X
1500575690220,sam,PebbleTimeSteel,-546,19,-642,30.6193044,-96.339069,Y
1500575690260,sam,PebbleTimeSteel,-692,73,-608,30.6193044,-96.339069,Z
1500575690300,sam,PebbleTimeSteel,-570,24,-803,30.6193044,-96.339069,Z
1500575690340,sam,PebbleTimeSteel,-640,45,-901,30.6193044,-96.339069,X
1500575690380,sam,PebbleTimeSteel,-659,-36,-799,30.6193044,-96.339069,Z
1500575690420,sam,PebbleTimeSteel,-787,127,-580,30.6193044,-96.339069,Z
1500575690460,sam,PebbleTimeSteel,-579,165,-675,30.6193044,-96.339069,X
1500575690500,sam,PebbleTimeSteel,-450,133,-581,30.6193044,-96.339069,X
1500575690540,sam,PebbleTimeSteel,-545,68,-645,30.6193044,-96.339069,Y
1500575690580,sam,PebbleTimeSteel,-459,-5,-895,30.6193044,-96.339069,Y
1500575690620,sam,PebbleTimeSteel,-478,107,-833,30.6193044,-96.339069,Y
1500575690660,sam,PebbleTimeSteel,-438,34,-964,30.6193044,-96.339069,Z
1500575690700,sam,PebbleTimeSteel,-514,-37,-613,30.6193044,-96.339069,X
1500575690740,sam,PebbleTimeSteel,-577,23,-619,30.6193044,-96.339069,X
1500575690780,sam,PebbleTimeSteel,-468,-13,-837,30.6193044,-96.339069,Y
1500575690820,sam,PebbleTimeSteel,-585,8,-1033,30.6193044,-96.339069,X
1500575690860,sam,PebbleTimeSteel,-575,29,-585,30.6193044,-96.339069,Y
1500575690900,sam,PebbleTimeSteel,-382,87,-307,30.6193044,-96.339069,Y
1500575690940,sam,PebbleTimeSteel,-540,52,-672,30.6193044,-96.339069,Y
1500575690980,sam,PebbleTimeSteel,-484,-14,-517,30.6193044,-96.339069,X
1500575691020,sam,PebbleTimeSteel,-532,93,-832,30.6193044,-96.339069,Z
1500575691060,sam,PebbleTimeSteel,-496,139,-796,30.6193044,-96.339069,X
1500575691100,sam,PebbleTimeSteel,-651,129,-398,30.6193044,-96.339069,X
1500575691140,sam,PebbleTimeSteel,-502,145,-249,30.6193044,-96.339069,Z
1500575691180,sam,PebbleTimeSteel,-732,73,-360,30.6193044,-96.339069,X
1500575691220,sam,PebbleTimeSteel,-700,116,-726,30.6193044,-96.339069,Z
1500575691260,sam,PebbleTimeSteel,-401,240,-819,30.6193044,-96.339069,Z
1500575691300,sam,PebbleTimeSteel,-569,77,-748,30.6193044,-96.339069,Z
1500575691340,sam,PebbleTimeSteel,-646,115,-1247,30.6193044,-96.339069,X
1500575691380,sam,PebbleTimeSteel,-607,-49,-894,30.6193044,-96.339069,Z
1500575691420,sam,PebbleTimeSteel,-868,-94,-494,30.6193044,-96.339069,Z
1500575691460,sam,PebbleTimeSteel,-377,138,-728,30.6193044,-96.339069,Z
1500575691500,sam,PebbleTimeSteel,-304,84,-695,30.6193044,-96.339069,Y
1500575691540,sam,PebbleTimeSteel,-529,96,-596,30.6193044,-96.339069,X
1500575691580,sam,PebbleTimeSteel,-742,31,-734,30.6193044,-96.339069,X
