Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long,XYZ
1500569220040,georgia,PebbleTimeSteel,-412,-444,-1513,30.6189898,-96.3396592,Y
1500569220080,georgia,PebbleTimeSteel,139,34,-344,30.6189898,-96.3396592,X
1500569220120,georgia,PebbleTimeSteel,-258,81,-942,30.6189898,-96.3396592,Y
1500569220160,georgia,PebbleTimeSteel,-611,-7,-305,30.6189898,-96.3396592,X
1500569220200,georgia,PebbleTimeSteel,-418,-31,-795,30.6189898,-96.3396592,X
1500569220240,georgia,PebbleTimeSteel,-184,-257,-1733,30.6189898,-96.3396592,Z
1500569220280,georgia,PebbleTimeSteel,-305,198,-753,30.6189898,-96.3396592,Y
1500569220320,georgia,PebbleTimeSteel,-152,77,-1626,30.6189898,-96.3396592,Y
1500569220360,georgia,PebbleTimeSteel,-272,-111,-766,30.6189898,-96.3396592,Z
1500569220400,georgia,PebbleTimeSteel,-76,181,-1380,30.6189898,-96.3396592,Y
1500569220440,georgia,PebbleTimeSteel,-319,88,-924,30.6189898,-96.3396592,Z
1500569220480,georgia,PebbleTimeSteel,-1025,63,-971,30.6189898,-96.3396592,X
1500569220530,georgia,PebbleTimeSteel,-380,101,-734,30.6189898,-96.3396592,Y
1500569220570,georgia,PebbleTimeSteel,-412,205,-1123,30.6189898,-96.3396592,Y
1500569220610,georgia,PebbleTimeSteel,-389,80,-658,30.6189898,-96.3396592,Y
1500569220650,georgia,PebbleTimeSteel,-585,-167,-1209,30.6189898,-96.3396592,Z
1500569220690,georgia,PebbleTimeSteel,-142,-71,-926,30.6189898,-96.3396592,Z
1500569220720,georgia,PebbleTimeSteel,-471,-113,-863,30.6189898,-96.3396592,X
1500569220760,georgia,PebbleTimeSteel,-193,-41,-625,30.6189898,-96.3396592,X
1500569220800,georgia,PebbleTimeSteel,-390,0,-1141,30.6189898,-96.3396592,Y
1500569220840,georgia,PebbleTimeSteel,-326,-17,-547,30.6189898,-96.3396592,Z
1500569220880,georgia,PebbleTimeSteel,-531,63,-699,30.6189898,-96.3396592,Z
1500569220920,georgia,PebbleTimeSteel,-357,2,-589,30.6189898,-96.3396592,X
1500569220960,georgia,PebbleTimeSteel,-55,-171,-1028,30.6189898,-96.3396592,Z
1500569221000,georgia,PebbleTimeSteel,-274,8,-740,30.6189898,-96.3396592,Y
1500569221040,georgia,PebbleTimeSteel,-361,-40,-504,30.6189898,-96.3396592,Z
1500569221080,georgia,PebbleTimeSteel,-754,195,-1292,30.6189898,-96.3396592,Y
1500569221130,georgia,PebbleTimeSteel,820,471,-591,30.6189898,-96.3396592,Z
1500569221170,georgia,PebbleTimeSteel,-16,325,-1801,30.6189898,-96.3396592,X
1500569221210,georgia,PebbleTimeSteel,-468,-27,-800,30.6189898,-96.3396592,Z
1500569221250,georgia,PebbleTimeSteel,-263,-79,-1069,30.6189898,-96.3396592,X
1500569221290,georgia,PebbleTimeSteel,-798,2,-374,30.6189898,-96.3396592,X
1500569221330,georgia,PebbleTimeSteel,-508,-80,-189,30.6189898,-96.3396592,Z
1500569221370,georgia,PebbleTimeSteel,-504,55,-1954,30.6189898,-96.3396592,X
1500569221410,georgia,PebbleTimeSteel,-156,188,-1435,30.6189898,-96.3396592,Z
1500569221450,georgia,PebbleTimeSteel,-445,8,-778,30.6189898,-96.3396592,X
1500569221490,georgia,PebbleTimeSteel,-633,76,-921,30.6189898,-96.3396592,Z
1500569221530,georgia,PebbleTimeSteel,-171,193,-573,30.6189898,-96.3396592,Z
1500569221570,georgia,PebbleTimeSteel,-303,-112,-1414,30.6189898,-96.3396592,Z
1500569221610,georgia,PebbleTimeSteel,-598,155,-531,30.6189898,-96.3396592,Y
1500569221650,georgia,PebbleTimeSteel,-439,37,-981,30.6189898,-96.3396592,X
1500569221690,georgia,PebbleTimeSteel,-604,-71,-880,30.6189898,-96.3396592,Z
1500569221730,georgia,PebbleTimeSteel,60,-6,-273,30.6189898,-96.3396592,Y
1500569221770,georgia,PebbleTimeSteel,-1088,54,-828,30.6189898,-96.3396592,X
1500569221810,georgia,PebbleTimeSteel,-390,165,-303,30.6189898,-96.3396592,Y
1500569221850,georgia,PebbleTimeSteel,-39,-192,-1313,30.6189898,-96.3396592,Y
1500569221890,georgia,PebbleTimeSteel,-216,22,-1213,30.6189898,-96.3396592,Y
1500569221930,georgia,PebbleTimeSteel,-628,-26,-258,30.6189898,-96.3396592,X
1500569221970,georgia,PebbleTimeSteel,-695,-78,-1281,30.6189898,-96.3396592,Z
1500569222010,georgia,PebbleTimeSteel,10,-211,-1454,30.6189898,-96.3396592,X
1500569222050,georgia,PebbleTimeSteel,-737,23,-927,30.6189898,-96.3396592,X
1500569222090,georgia,PebbleTimeSteel,-382,380,-1340,30.6189898,-96.3396592,Y
1500569222130,georgia,PebbleTimeSteel,-632,45,-618,30.6189898,-96.3396592,X
1500569222170,georgia,PebbleTimeSteel,-367,-151,-799,30.6189898,-96.3396592,Z
1500569222210,georgia,PebbleTimeSteel,-133,303,-555,30.6189898,-96.3396592,Z
1500569222250,georgia,PebbleTimeSteel,-448,2,-605,30.6189898,-96.3396592,X
1500569222290,georgia,PebbleTimeSteel,-167,293,-1314,30.6189898,-96.3396592,X
1500569222330,georgia,PebbleTimeSteel,-1,31,-557,30.6189898,-96.3396592,Z
1500569222370,georgia,PebbleTimeSteel,-505,-198,-812,30.6189898,-96.3396592,X
1500569222410,georgia,PebbleTimeSteel,-740,-84,-915,30.6189898,-96.3396592,Z
1500569222450,georgia,PebbleTimeSteel,-289,-8,-957,30.6189898,-96.3396592,Y
1500569222490,georgia,PebbleTimeSteel,-372,148,-969,30.6189898,-96.3396592,X
1500569222530,georgia,PebbleTimeSteel,-238,207,-841,30.6189898,-96.3396592,X
1500569222570,georgia,PebbleTimeSteel,-708,-190,-1059,30.6189898,-96.3396592,X
1500569222610,georgia,PebbleTimeSteel,-488,-133,-911,30.6189898,-96.3396592,Y
1500569222650,georgia,PebbleTimeSteel,-14,134,-956,30.6189898,-96.3396592,Z
1500569222690,georgia,PebbleTimeSteel,-406,183,-622,30.6189898,-96.3396592,X
1500569222730,georgia,PebbleTimeSteel,-114,5,-802,30.6189898,-96.3396592,Y
1500569222770,georgia,PebbleTimeSteel,-459,-83,-1460,30.6189898,-96.3396592,Z
1500569222810,georgia,PebbleTimeSteel,-264,176,-1271,30.6189898,-96.3396592,Y
1500569222850,georgia,PebbleTimeSteel,-192,181,-824,30.6189898,-96.3396592,Y
1500569222890,georgia,PebbleTimeSteel,-392,41,-1273,30.6189898,-96.3396592,X
1500569222930,georgia,PebbleTimeSteel,85,-76,-1578,30.6189898,-96.3396592,X
1500569222970,georgia,PebbleTimeSteel,-623,2,-1003,30.6189898,-96.3396592,Z
1500569223010,georgia,PebbleTimeSteel,-460,-44,-671,30.6189898,-96.3396592,Z
1500569223050,georgia,PebbleTimeSteel,-608,-85,-1001,30.6189898,-96.3396592,X
1500569223090,georgia,PebbleTimeSteel,-385,-117,-1246,30.6189898,-96.3396592,Y
1500569223130,georgia,PebbleTimeSteel,-280,-240,-615,30.6189898,-96.3396592,Z
1500569223170,georgia,PebbleTimeSteel,-606,-29,-660,30.6189898,-96.3396592,Y
1500569223210,georgia,PebbleTimeSteel,-688,240,-603,30.6189898,-96.3396592,Y
1500569223250,georgia,PebbleTimeSteel,-562,-138,-759,30.6189898,-96.3396592,Y
1500569223290,georgia,PebbleTimeSteel,-251,-33,-1096,30.6189898,-96.3396592,Z
1500569223340,georgia,PebbleTimeSteel,-690,-289,-999,30.6189898,-96.3396592,X
1500569223380,georgia,PebbleTimeSteel,-201,39,-1121,30.6189898,-96.3396592,Y
1500569223420,georgia,PebbleTimeSteel,-362,-212,-457,30.6189898,-96.3396592,Y
1500569223460,georgia,PebbleTimeSteel,-207,-160,-1030,30.6189898,-96.3396592,X
1500569223500,georgia,PebbleTimeSteel,-978,-94,-414,30.6189898,-96.3396592,X
1500569223530,georgia,PebbleTimeSteel,-390,-254,-840,30.6189898,-96.3396592,Y
1500569223570,georgia,PebbleTimeSteel,-285,-231,-885,30.6189898,-96.3396592,X
1500569223610,georgia,PebbleTimeSteel,-436,141,-643,30.6189898,-96.3396592,Y
1500569223650,georgia,PebbleTimeSteel,-554,-16,-760,30.6189898,-96.3396592,Y
1500569223690,georgia,PebbleTimeSteel,-463,82,-905,30.6189898,-96.3396592,Z
1500569223740,georgia,PebbleTimeSteel,-122,92,-1150,30.6189898,-96.3396592,X
1500569223780,georgia,PebbleTimeSteel,-395,16,-803,30.6189898,-96.3396592,Z
1500569223820,georgia,PebbleTimeSteel,-238,-118,-799,30.6189898,-96.3396592,Z
1500569223860,georgia,PebbleTimeSteel,-192,63,-833,30.6189898,-96.3396592,X
1500569223900,georgia,PebbleTimeSteel,-882,5,-905,30.6189898,-96.3396592,Y
1500569223940,georgia,PebbleTimeSteel,-313,-142,-213,30.6189898,-96.3396592,Z
1500569223980,georgia,PebbleTimeSteel,-378,0,-1077,30.6189898,-96.3396592,Y
1500569224020,georgia,PebbleTimeSteel,-555,302,-681,30.6189898,-96.3396592,X
1500569224060,georgia,PebbleTimeSteel,-98,-46,-604,30.6189898,-96.3396592,X
1500569224100,georgia,PebbleTimeSteel,-497,179,-915,30.6189898,-96.3396592,Z
1500569224140,georgia,PebbleTimeSteel,-157,75,-520,30.6188541,-96.3402414,X
1500569224180,georgia,PebbleTimeSteel,-440,-210,-1543,30.6188541,-96.3402414,X
1500569224220,georgia,PebbleTimeSteel,-416,-16,-882,30.6188541,-96.3402414,Y
1500569224260,georgia,PebbleTimeSteel,-274,117,-683,30.6188541,-96.3402414,Z
1500569224300,georgia,PebbleTimeSteel,-392,280,-1116,30.6188541,-96.3402414,X
1500569224340,georgia,PebbleTimeSteel,-181,-81,-446,30.6188541,-96.3402414,Z
1500569224380,georgia,PebbleTimeSteel,-541,-7,-1304,30.6188541,-96.3402414,Z
1500569224420,georgia,PebbleTimeSteel,89,151,-630,30.6188541,-96.3402414,X
1500569224460,georgia,PebbleTimeSteel,-478,38,-640,30.6188541,-96.3402414,Z
1500569224500,georgia,PebbleTimeSteel,-143,-177,-1163,30.6188541,-96.3402414,Y
1500569224540,georgia,PebbleTimeSteel,512,15,-1536,30.6188541,-96.3402414,X
1500569224580,georgia,PebbleTimeSteel,-293,176,-669,30.6188541,-96.3402414,Y
1500569224620,georgia,PebbleTimeSteel,247,121,-720,30.6188541,-96.3402414,Y
1500569224660,georgia,PebbleTimeSteel,-224,-46,-1485,30.6188541,-96.3402414,X
1500569224700,georgia,PebbleTimeSteel,50,281,-986,30.6188541,-96.3402414,X
1500569224740,georgia,PebbleTimeSteel,-439,34,-1110,30.6188541,-96.3402414,X
1500569224780,georgia,PebbleTimeSteel,-588,271,-1956,30.6188541,-96.3402414,Z
1500569224820,georgia,PebbleTimeSteel,15,146,-361,30.6188541,-96.3402414,Y
1500569224860,georgia,PebbleTimeSteel,-492,-143,-2308,30.6188541,-96.3402414,Y
1500569224900,georgia,PebbleTimeSteel,-470,91,-110,30.6188541,-96.3402414,X
1500569224940,georgia,PebbleTimeSteel,-445,-16,-1250,30.6188541,-96.3402414,X
1500569224980,georgia,PebbleTimeSteel,-295,-202,-252,30.6188541,-96.3402414,X
1500569225020,georgia,PebbleTimeSteel,-182,24,-1376,30.6188541,-96.3402414,Z
1500569225060,georgia,PebbleTimeSteel,-677,-29,-24,30.6188541,-96.3402414,Z
1500569225100,georgia,PebbleTimeSteel,-253,12,-526,30.6188541,-96.3402414,Y
1500569225140,georgia,PebbleTimeSteel,-364,-72,-967,30.6188541,-96.3402414,X
1500569225180,georgia,PebbleTimeSteel,-131,169,-1327,30.6188541,-96.3402414,X
1500569225220,georgia,PebbleTimeSteel,-712,299,-842,30.6188541,-96.3402414,X
1500569225260,georgia,PebbleTimeSteel,-80,130,-746,30.6188541,-96.3402414,Y
1500569225300,georgia,PebbleTimeSteel,-453,26,-888,30.6188541,-96.3402414,Z
1500569225340,georgia,PebbleTimeSteel,75,19,-1473,30.6188541,-96.3402414,X
