Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long,XYZ
1500576362260,heather,motorola-XT1096,-3.227383852,9.308655739,-2.633621931,30.6189436,-96.3395957,Z
1500576362310,heather,motorola-XT1096,0.29688102,11.28147888,-1.426944256,30.6189436,-96.3395957,X
1500576362390,heather,motorola-XT1096,-1.254561663,10.06522369,-4.223371983,30.6189436,-96.3395957,Z
1500576362440,heather,motorola-XT1096,-2.288856745,9.777919769,-2.710236311,30.6189436,-96.3395957,Z
1500576362490,heather,motorola-XT1096,-1.656787634,12.11466026,-3.543418407,30.6189436,-96.3395957,Y
1500576362550,heather,motorola-XT1096,-2.853888512,8.07324791,-3.543418407,30.6189436,-96.3395957,X
1500576362610,heather,motorola-XT1096,-2.068590164,6.607996464,-3.888183594,30.6189436,-96.3395957,X
1500576362670,heather,motorola-XT1096,-2.11647439,8.667010307,-3.428496838,30.6189436,-96.3395957,Y
1500576362730,heather,motorola-XT1096,-3.246537447,9.911994934,-4.30956316,30.6189436,-96.3395957,X
1500576362800,heather,motorola-XT1096,-1.991975784,10.13226128,-3.131615877,30.6189436,-96.3395957,Z
1500576362860,heather,motorola-XT1096,-1.015141487,9.327810287,-3.438073635,30.6189436,-96.3395957,Z
1500576362910,heather,motorola-XT1096,-3.256114244,8.743624687,-2.652775526,30.6189436,-96.3395957,Z
1500576362970,heather,motorola-XT1096,-3.409343243,9.806650162,-3.38061285,30.6189436,-96.3395957,Y
1500576363030,heather,motorola-XT1096,-1.59932673,10.47702694,-2.547430515,30.6189436,-96.3395957,Z
1500576363090,heather,motorola-XT1096,-0.823605359,11.84650993,-4.826710701,30.6189436,-96.3395957,X
1500576363140,heather,motorola-XT1096,-1.714248419,8.082824707,-3.936067581,30.6189436,-96.3395957,Y
1500576363200,heather,motorola-XT1096,-1.446097851,7.383718014,-4.175487995,30.6189436,-96.3395957,X
1500576363290,heather,motorola-XT1096,0.497993946,7.757213593,-3.677493811,30.6189436,-96.3395957,Z
1500576363320,heather,motorola-XT1096,-0.210689753,8.494627953,-3.055001259,30.6189436,-96.3395957,Z
1500576363410,heather,motorola-XT1096,-1.522712231,9.260771751,-4.041412354,30.6189436,-96.3395957,Y
1500576363440,heather,motorola-XT1096,-1.302445769,9.251194954,-3.275267839,30.6189436,-96.3395957,Z
1500576363500,heather,motorola-XT1096,-2.863465309,9.595960617,-2.767697096,30.6189436,-96.3395957,X
1500576363560,heather,motorola-XT1096,-1.091755986,8.283937454,-3.093308687,30.6189436,-96.3395957,X
1500576363620,heather,motorola-XT1096,-2.633621931,9.136273384,-4.42448473,30.6189436,-96.3395957,Z
1500576363680,heather,motorola-XT1096,-3.706224203,8.38928318,-2.375048161,30.6189436,-96.3395957,Y
1500576363730,heather,motorola-XT1096,-3.227383852,10.54406452,-4.146757126,30.6189436,-96.3395957,Y
1500576363810,heather,motorola-XT1096,-2.15478158,8.46589756,-3.428496838,30.6189436,-96.3395957,X
1500576363850,heather,motorola-XT1096,-2.336740971,8.561665535,-3.581725836,30.6189436,-96.3395957,Z
1500576363930,heather,motorola-XT1096,-2.691082716,9.270348549,-2.758120298,30.6189436,-96.3395957,Y
1500576363980,heather,motorola-XT1096,-1.00556469,9.251194954,-3.150769472,30.6189436,-96.3395957,Z
1500576364040,heather,motorola-XT1096,-1.455674648,8.992621422,-3.610456228,30.6189436,-96.3395957,Y
1500576364090,heather,motorola-XT1096,-2.011129379,9.260771751,-2.834734917,30.6189436,-96.3395957,X
1500576364150,heather,motorola-XT1096,-2.260126352,10.54406452,-2.806004286,30.6189436,-96.3395957,Z
1500576364220,heather,motorola-XT1096,-2.624045134,11.0229044,-3.572149038,30.6189436,-96.3395957,X
1500576364280,heather,motorola-XT1096,-3.754108191,11.04205799,-4.635174274,30.6189436,-96.3395957,Y
1500576364320,heather,motorola-XT1096,-1.915361404,8.714894295,-3.687070608,30.6189436,-96.3395957,Z
1500576364420,heather,motorola-XT1096,-2.020706177,8.963891029,-2.442085743,30.6189436,-96.3395957,Y
1500576364460,heather,motorola-XT1096,-2.039859772,9.950302124,-3.514688015,30.6189436,-96.3395957,X
1500576364500,heather,motorola-XT1096,-2.011129379,10.6111021,-5.525817394,30.6189436,-96.3395957,Y
