Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long,XYZ
1500576160130,daniel,PebbleTimeSteel,-237,172,-839,30.6189558,-96.3395048,Y
1500576160170,daniel,PebbleTimeSteel,-563,211,-728,30.6189558,-96.3395048,Z
1500576160210,daniel,PebbleTimeSteel,-47,382,-1065,30.6189558,-96.3395048,Z
1500576160250,daniel,PebbleTimeSteel,-1060,-355,-237,30.6189558,-96.3395048,Z
1500576160290,daniel,PebbleTimeSteel,-561,141,-653,30.6189558,-96.3395048,Y
1500576160330,daniel,PebbleTimeSteel,-542,18,-895,30.6189558,-96.3395048,Z
1500576160370,daniel,PebbleTimeSteel,-598,70,-408,30.6189558,-96.3395048,Y
1500576160410,daniel,PebbleTimeSteel,-622,221,-715,30.6189558,-96.3395048,Y
1500576160450,daniel,PebbleTimeSteel,-508,31,-534,30.6189558,-96.3395048,Y
1500576160490,daniel,PebbleTimeSteel,-623,-7,-1104,30.6189558,-96.3395048,Y
1500576160530,daniel,PebbleTimeSteel,-509,232,-927,30.6189558,-96.3395048,Z
1500576160570,daniel,PebbleTimeSteel,-625,-25,-1014,30.6189558,-96.3395048,Y
1500576160610,daniel,PebbleTimeSteel,-397,0,-654,30.6189558,-96.3395048,Y
1500576160650,daniel,PebbleTimeSteel,-351,24,-1081,30.6189558,-96.3395048,Z
1500576160690,daniel,PebbleTimeSteel,-697,7,-494,30.6189558,-96.3395048,Y
1500576160730,daniel,PebbleTimeSteel,-724,38,-709,30.6189558,-96.3395048,Z
1500576160780,daniel,PebbleTimeSteel,-348,103,-581,30.6189558,-96.3395048,X
1500576160820,daniel,PebbleTimeSteel,-676,-75,-941,30.6189558,-96.3395048,Z
1500576160860,daniel,PebbleTimeSteel,-328,-77,-367,30.6189558,-96.3395048,Y
1500576160900,daniel,PebbleTimeSteel,-781,13,-710,30.6189558,-96.3395048,Z
1500576160940,daniel,PebbleTimeSteel,-74,173,-468,30.6189558,-96.3395048,Z
1500576160980,daniel,PebbleTimeSteel,-429,150,-1130,30.6189558,-96.3395048,Y
1500576161020,daniel,PebbleTimeSteel,-186,145,-933,30.6189558,-96.3395048,Y
1500576161060,daniel,PebbleTimeSteel,-680,186,-609,30.6189558,-96.3395048,Y
1500576161100,daniel,PebbleTimeSteel,-405,324,-1253,30.6189558,-96.3395048,X
1500576161140,daniel,PebbleTimeSteel,-402,43,-650,30.6189558,-96.3395048,Z
1500576161170,daniel,PebbleTimeSteel,-710,118,-625,30.6189558,-96.3395048,X
1500576161210,daniel,PebbleTimeSteel,-437,-36,-507,30.6189558,-96.3395048,X
1500576161250,daniel,PebbleTimeSteel,-788,162,-749,30.6189558,-96.3395048,X
1500576161290,daniel,PebbleTimeSteel,-546,50,-767,30.6189558,-96.3395048,Y
1500576161330,daniel,PebbleTimeSteel,-598,155,-685,30.6189558,-96.3395048,Y
1500576161380,daniel,PebbleTimeSteel,-144,-3,-890,30.6189558,-96.3395048,Z
1500576161420,daniel,PebbleTimeSteel,-773,-230,-432,30.6189558,-96.3395048,Z
1500576161460,daniel,PebbleTimeSteel,-435,-214,-864,30.6189558,-96.3395048,Y
1500576161500,daniel,PebbleTimeSteel,-660,-55,-825,30.6189558,-96.3395048,Y
1500576161540,daniel,PebbleTimeSteel,-406,-205,-670,30.6189558,-96.3395048,X
1500576161580,daniel,PebbleTimeSteel,-327,-76,-1358,30.6189558,-96.3395048,X
1500576161620,daniel,PebbleTimeSteel,-558,-71,-974,30.6189558,-96.3395048,Y
1500576161660,daniel,PebbleTimeSteel,-425,-20,-718,30.6189558,-96.3395048,X
1500576161700,daniel,PebbleTimeSteel,-440,-4,-1399,30.6189558,-96.3395048,X
1500576161740,daniel,PebbleTimeSteel,-672,27,-389,30.6189558,-96.3395048,X
1500576161780,daniel,PebbleTimeSteel,-467,136,-618,30.6189558,-96.3395048,Z
1500576161820,daniel,PebbleTimeSteel,-988,-63,-330,30.6189558,-96.3395048,Z
1500576161860,daniel,PebbleTimeSteel,-540,116,-685,30.6189558,-96.3395048,Y
1500576161900,daniel,PebbleTimeSteel,-633,35,-640,30.6189558,-96.3395048,X
1500576161940,daniel,PebbleTimeSteel,-318,98,-462,30.6189558,-96.3395048,Y
1500576161980,daniel,PebbleTimeSteel,-520,141,90,30.6189558,-96.3395048,Z
1500576162020,daniel,PebbleTimeSteel,-996,283,-621,30.6189558,-96.3395048,X
1500576162060,daniel,PebbleTimeSteel,-782,-46,-506,30.6189558,-96.3395048,Y
1500576162100,daniel,PebbleTimeSteel,-689,55,-619,30.6189558,-96.3395048,Z
1500576162140,daniel,PebbleTimeSteel,-683,216,-763,30.6189558,-96.3395048,Z
1500576162180,daniel,PebbleTimeSteel,-487,129,-789,30.6189558,-96.3395048,X
1500576162220,daniel,PebbleTimeSteel,-451,329,-1068,30.6189558,-96.3395048,Z
1500576162260,daniel,PebbleTimeSteel,-614,118,-178,30.6189558,-96.3395048,X
1500576162300,daniel,PebbleTimeSteel,-350,-22,127,30.6189558,-96.3395048,X
1500576162340,daniel,PebbleTimeSteel,-247,428,-1455,30.6189558,-96.3395048,X
1500576162380,daniel,PebbleTimeSteel,-331,68,-1249,30.6189558,-96.3395048,X
1500576162420,daniel,PebbleTimeSteel,-644,46,-830,30.6189558,-96.3395048,Y
1500576162460,daniel,PebbleTimeSteel,-626,228,-1282,30.6189558,-96.3395048,Z
1500576162500,daniel,PebbleTimeSteel,-220,160,-976,30.6189558,-96.3395048,Z
1500576162540,daniel,PebbleTimeSteel,-626,83,-1014,30.6189558,-96.3395048,X
1500576162580,daniel,PebbleTimeSteel,49,-248,-560,30.6189558,-96.3395048,X
1500576162620,daniel,PebbleTimeSteel,-535,-57,93,30.6189558,-96.3395048,Y
1500576162660,daniel,PebbleTimeSteel,-789,-179,-224,30.6189558,-96.3395048,Y
1500576162700,daniel,PebbleTimeSteel,-849,-147,-593,30.6189558,-96.3395048,Z
1500576162740,daniel,PebbleTimeSteel,-689,-102,223,30.6189558,-96.3395048,Y
1500576162780,daniel,PebbleTimeSteel,-694,50,-765,30.6189558,-96.3395048,Z
1500576162820,daniel,PebbleTimeSteel,-323,-10,-594,30.6189558,-96.3395048,Y
1500576162860,daniel,PebbleTimeSteel,-804,137,-548,30.6189558,-96.3395048,Y
1500576162900,daniel,PebbleTimeSteel,-361,-26,-807,30.6189558,-96.3395048,X
1500576162940,daniel,PebbleTimeSteel,-400,-18,-872,30.6189558,-96.3395048,X
1500576162980,daniel,PebbleTimeSteel,-657,127,-555,30.6189558,-96.3395048,Z
1500576163020,daniel,PebbleTimeSteel,-609,118,-724,30.6189558,-96.3395048,Y
1500576163060,daniel,PebbleTimeSteel,-298,118,-1442,30.6189558,-96.3395048,X
