Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long,XYZ
1500569380010,kalynn,motorola-XT1096,2.212242365,8.590395927,-6.378153324,30.6188784,-96.3395468,Y
1500569380040,kalynn,motorola-XT1096,3.591302633,8.025363922,-6.06211853,30.6188784,-96.3395468,X
1500569380070,kalynn,motorola-XT1096,2.442085743,8.494627953,-5.755661011,30.6188784,-96.3395468,X
1500569380070,kalynn,motorola-XT1096,0.63206923,8.054094315,-5.219359875,30.6188784,-96.3395468,Y
1500569380100,kalynn,motorola-XT1096,0.804451764,6.770802498,-5.123591423,30.6188784,-96.3395468,Y
1500569380120,kalynn,motorola-XT1096,1.991975784,6.445190907,-5.181052685,30.6188784,-96.3395468,X
1500569380140,kalynn,motorola-XT1096,1.666364431,7.603984833,-5.497087002,30.6188784,-96.3395468,X
1500569380150,kalynn,motorola-XT1096,1.666364431,7.345410824,-5.094861031,30.6188784,-96.3395468,Z
1500569380170,kalynn,motorola-XT1096,1.312022567,6.943184853,-4.242525578,30.6188784,-96.3395468,Y
1500569380190,kalynn,motorola-XT1096,0.641646028,7.201758862,-4.328716755,30.6188784,-96.3395468,X
1500569380210,kalynn,motorola-XT1096,0.210689753,7.460332394,-5.334281445,30.6188784,-96.3395468,X
1500569380230,kalynn,motorola-XT1096,1.541865945,7.268796444,-5.583278179,30.6188784,-96.3395468,Z
1500569380250,kalynn,motorola-XT1096,3.150769472,7.795520782,-5.851428986,30.6188784,-96.3395468,Z
1500569380280,kalynn,motorola-XT1096,4.261679173,8.331821442,-6.330269337,30.6188784,-96.3395468,Z
1500569380300,kalynn,motorola-XT1096,4.57771349,8.791508675,-6.330269337,30.6188784,-96.3395468,X
1500569380320,kalynn,motorola-XT1096,3.19865346,9.835380554,-6.033388138,30.6188784,-96.3395468,Z
1500569380340,kalynn,motorola-XT1096,1.436521053,11.92312431,-4.826710701,30.6188784,-96.3395468,Z
1500569380360,kalynn,motorola-XT1096,1.053448796,11.64539719,-4.778826714,30.6188784,-96.3395468,Y
1500569380370,kalynn,motorola-XT1096,1.752555609,10.0364933,-5.027823448,30.6188784,-96.3395468,X
1500569380390,kalynn,motorola-XT1096,1.63763392,11.67412758,-5.592854977,30.6188784,-96.3395468,Z
1500569380410,kalynn,motorola-XT1096,1.972822189,12.03804588,-5.018246651,30.6188784,-96.3395468,Y
1500569380430,kalynn,motorola-XT1096,1.63763392,11.9901619,-5.066130638,30.6188784,-96.3395468,Z
1500569380450,kalynn,motorola-XT1096,1.455674648,9.193734169,-5.420472622,30.6188784,-96.3395468,X
1500569380470,kalynn,motorola-XT1096,-0.67037648,9.47146225,-5.209783077,30.6188784,-96.3395468,Y
1500569380500,kalynn,motorola-XT1096,-0.919373453,9.030928612,-4.740519524,30.6188784,-96.3395468,X
1500569380520,kalynn,motorola-XT1096,-0.622492433,8.044517517,-4.587290287,30.6188784,-96.3395468,Z
1500569380540,kalynn,motorola-XT1096,-0.134075299,6.339846134,-4.778826714,30.6188784,-96.3395468,Y
1500569380560,kalynn,motorola-XT1096,-0.641646028,6.79953289,-4.874594688,30.6188784,-96.3395468,Y
1500569380570,kalynn,motorola-XT1096,0.02873042,6.83784008,-4.443638325,30.6188784,-96.3395468,X
1500569380580,kalynn,motorola-XT1096,1.551442742,6.579266071,-4.721365929,30.6188784,-96.3395468,Z
1500569380600,kalynn,motorola-XT1096,2.039859772,7.297526836,-4.328716755,30.6188784,-96.3395468,Y
1500569380620,kalynn,motorola-XT1096,2.097320795,8.38928318,-4.165910721,30.6188784,-96.3395468,Y
1500569380640,kalynn,motorola-XT1096,1.944091797,8.65743351,-5.257667065,30.6188784,-96.3395468,Z
1500569380670,kalynn,motorola-XT1096,0.344765037,8.705317497,-5.133168221,30.6188784,-96.3395468,Z
1500569380690,kalynn,motorola-XT1096,-0.392649084,9.43315506,-5.621585369,30.6188784,-96.3395468,Z
1500569380710,kalynn,motorola-XT1096,-0.114921682,9.921571732,-6.426037312,30.6188784,-96.3395468,X
1500569380740,kalynn,motorola-XT1096,0.143652096,9.54807663,-5.573701382,30.6188784,-96.3395468,Y
1500569380760,kalynn,motorola-XT1096,1.26413846,8.159439087,-5.439626217,30.6188784,-96.3395468,Y
1500569380760,kalynn,motorola-XT1096,2.671929121,7.872135162,-5.861005783,30.6188784,-96.3395468,Y
1500569380780,kalynn,motorola-XT1096,2.547430515,7.7284832,-6.301538944,30.6188784,-96.3395468,Y
1500569380800,kalynn,motorola-XT1096,1.024718285,8.264783859,-6.493074894,30.6188784,-96.3395468,X
1500569380820,kalynn,motorola-XT1096,-0.057460841,9.299078941,-6.636727333,30.6188784,-96.3395468,Y
1500569380840,kalynn,motorola-XT1096,0.383072257,8.781931877,-6.263231754,30.6188784,-96.3395468,Z
1500569380870,kalynn,motorola-XT1096,0.459686726,9.030928612,-6.090848923,30.6188784,-96.3395468,X
1500569380900,kalynn,motorola-XT1096,0.086191259,8.07324791,-5.774814606,30.6188784,-96.3395468,Z
1500569380920,kalynn,motorola-XT1096,-0.488417149,8.006210327,-6.119579315,30.6188784,-96.3395468,Z
1500569380930,kalynn,motorola-XT1096,-0.239420176,6.215347767,-6.177040577,30.6188784,-96.3395468,Z
1500569380950,kalynn,motorola-XT1096,-1.340752959,8.169015884,-6.311115742,30.6188784,-96.3395468,X
1500569380960,kalynn,motorola-XT1096,0.019153614,9.43315506,-7.077260017,30.6188784,-96.3395468,X
1500569380980,kalynn,motorola-XT1096,2.068590164,10.53448772,-7.364564419,30.6188784,-96.3395468,Z
1500569381000,kalynn,motorola-XT1096,2.853888512,7.632715225,-6.885724068,30.6188784,-96.3395468,Y
1500569381020,kalynn,motorola-XT1096,1.886630893,6.828263283,-6.464344502,30.6188784,-96.3395468,X
1500569381040,kalynn,motorola-XT1096,-1.273715258,9.327810287,-5.525817394,30.6188784,-96.3395468,Y
1500569381060,kalynn,motorola-XT1096,-2.940079689,8.676587105,-4.769249916,30.6188784,-96.3395468,X
1500569381090,kalynn,motorola-XT1096,-4.050989151,9.222464561,-4.644751072,30.6188784,-96.3395468,Y
1500569381120,kalynn,motorola-XT1096,-4.807557106,9.662998199,-3.485957623,30.6188784,-96.3395468,Y
1500569381120,kalynn,motorola-XT1096,-2.901772499,10.25675964,-2.604891539,30.6188784,-96.3395468,X
1500569381160,kalynn,motorola-XT1096,-0.067037649,8.963891029,-3.19865346,30.6188784,-96.3395468,Z
1500569381160,kalynn,motorola-XT1096,0.306457818,8.84896946,-4.635174274,30.6188784,-96.3395468,X
1500569381180,kalynn,motorola-XT1096,0.067037649,9.701305389,-5.35343504,30.6188784,-96.3395468,Y
1500569381200,kalynn,motorola-XT1096,0.201112941,9.730035782,-5.497087002,30.6188784,-96.3395468,Y
1500569381220,kalynn,motorola-XT1096,0,10.20887566,-5.774814606,30.6188784,-96.3395468,Y
1500569381240,kalynn,motorola-XT1096,-0.181959331,9.979032516,-5.487510204,30.6188784,-96.3395468,X
1500569381260,kalynn,motorola-XT1096,0.584185243,7.718906403,-5.104437828,30.6188784,-96.3395468,Y
1500569381300,kalynn,motorola-XT1096,0.268150598,8.197746277,-5.267243862,30.6188784,-96.3395468,X
1500569381340,kalynn,motorola-XT1096,0.430956304,9.222464561,-4.673481941,30.6188784,-96.3395468,Y
1500569381390,kalynn,motorola-XT1096,-0.124498487,9.375694275,-4.50109911,30.6188784,-96.3395468,Z
1500569381460,kalynn,motorola-XT1096,-1.905784607,8.753201485,-3.859453201,30.6188784,-96.3395468,Y
1500569381510,kalynn,motorola-XT1096,-0.29688102,6.617573261,-4.57771349,30.6188784,-96.3395468,X
1500569381570,kalynn,motorola-XT1096,1.484405041,7.814674377,-5.803544998,30.6188784,-96.3395468,X
1500569381630,kalynn,motorola-XT1096,4.041412354,9.35654068,-8.81066227,30.6188784,-96.3395468,X
1500569381700,kalynn,motorola-XT1096,4.453215122,8.523358345,-9.816226959,30.6188784,-96.3395468,Y
1500569381750,kalynn,motorola-XT1096,4.34787035,8.77235508,-6.196194172,30.6188784,-96.3395468,X
1500569381810,kalynn,motorola-XT1096,1.675941229,7.431602001,-4.750096321,30.6188784,-96.3395468,Z
1500569381870,kalynn,motorola-XT1096,1.331176162,5.20020628,-5.104437828,30.6188784,-96.3395468,Z
1500569381940,kalynn,motorola-XT1096,1.89620769,11.05163479,-4.797980309,30.6188784,-96.3395468,Y
1500569381990,kalynn,motorola-XT1096,0.708683729,14.10663605,-6.215347767,30.6188784,-96.3395468,Z
1500569382040,kalynn,motorola-XT1096,-0.134075299,7.489062786,-5.123591423,30.6188784,-96.3395468,Y
1500569382120,kalynn,motorola-XT1096,-0.89064306,5.995080948,-3.275267839,30.6188784,-96.3395468,Y
1500569382160,kalynn,motorola-XT1096,0.814028561,7.364564419,-4.434061527,30.6188784,-96.3395468,Z
1500569382220,kalynn,motorola-XT1096,-0.105344877,7.268796444,-4.865017891,30.6188784,-96.3395468,X
1500569382300,kalynn,motorola-XT1096,-1.982398987,9.490615845,-6.330269337,30.6188784,-96.3395468,Z
1500569382340,kalynn,motorola-XT1096,2.595314741,11.11867237,-7.02937603,30.6188784,-96.3395468,Y
1500569382400,kalynn,motorola-XT1096,-0.402225882,7.048529625,-6.291962147,30.6188784,-96.3395468,Z
