Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long,XYZ
1500575981980,sera,PebbleTimeSteel,-527,-8,-798,30.6189933,-96.3394845,Z
1500575982020,sera,PebbleTimeSteel,-537,185,-699,30.6189933,-96.3394845,Y
1500575982060,sera,PebbleTimeSteel,-567,224,-588,30.6189933,-96.3394845,Y
1500575982100,sera,PebbleTimeSteel,-518,325,-822,30.6189933,-96.3394845,Z
1500575982140,sera,PebbleTimeSteel,-587,117,-705,30.6189933,-96.3394845,X
1500575982180,sera,PebbleTimeSteel,-562,-82,-646,30.6189933,-96.3394845,Z
1500575982220,sera,PebbleTimeSteel,-528,173,-731,30.6189933,-96.3394845,X
1500575982260,sera,PebbleTimeSteel,-519,281,-741,30.6189933,-96.3394845,Y
1500575982300,sera,PebbleTimeSteel,-569,-102,-495,30.6189933,-96.3394845,X
1500575982340,sera,PebbleTimeSteel,-614,140,-601,30.6189933,-96.3394845,Y
1500575982380,sera,PebbleTimeSteel,-544,124,-387,30.6189933,-96.3394845,Z
1500575982420,sera,PebbleTimeSteel,-619,115,-541,30.6189933,-96.3394845,X
1500575982460,sera,PebbleTimeSteel,-521,137,-1023,30.6189933,-96.3394845,X
1500575982500,sera,PebbleTimeSteel,-567,81,-662,30.6189933,-96.3394845,Y
1500575982540,sera,PebbleTimeSteel,-537,62,-769,30.6189933,-96.3394845,Y
1500575982580,sera,PebbleTimeSteel,-541,40,-758,30.6189933,-96.3394845,X
1500575982620,sera,PebbleTimeSteel,-560,162,-700,30.6189933,-96.3394845,X
1500575982660,sera,PebbleTimeSteel,-543,219,-741,30.6189933,-96.3394845,Y
1500575982700,sera,PebbleTimeSteel,-543,225,-729,30.6189933,-96.3394845,X
1500575982740,sera,PebbleTimeSteel,-545,138,-731,30.6189933,-96.3394845,Z
1500575982780,sera,PebbleTimeSteel,-524,113,-834,30.6189933,-96.3394845,Z
1500575982820,sera,PebbleTimeSteel,-594,130,-735,30.6189933,-96.3394845,Z
1500575982860,sera,PebbleTimeSteel,-523,121,-740,30.6189933,-96.3394845,Y
1500575982900,sera,PebbleTimeSteel,-636,36,-650,30.6189933,-96.3394845,X
1500575982940,sera,PebbleTimeSteel,-432,210,-810,30.6189933,-96.3394845,Z
1500575982980,sera,PebbleTimeSteel,-534,98,-929,30.6189933,-96.3394845,Z
1500575983020,sera,PebbleTimeSteel,-542,87,-707,30.6189933,-96.3394845,Y
1500575983060,sera,PebbleTimeSteel,-562,151,-635,30.6189933,-96.3394845,Y
1500575983100,sera,PebbleTimeSteel,-527,62,-772,30.6189933,-96.3394845,Z
1500575983140,sera,PebbleTimeSteel,-574,118,-692,30.6189933,-96.3394845,X
1500575983180,sera,PebbleTimeSteel,-533,210,-738,30.6189933,-96.3394845,X
1500575983220,sera,PebbleTimeSteel,-564,165,-710,30.6189933,-96.3394845,X
1500575983260,sera,PebbleTimeSteel,-535,197,-740,30.6189933,-96.3394845,X
1500575983300,sera,PebbleTimeSteel,-536,144,-694,30.6189933,-96.3394845,Y
1500575983340,sera,PebbleTimeSteel,-549,166,-719,30.6189933,-96.3394845,Y
1500575983380,sera,PebbleTimeSteel,-556,168,-694,30.6189933,-96.3394845,Y
1500575983420,sera,PebbleTimeSteel,-544,157,-728,30.6189933,-96.3394845,Y
1500575983460,sera,PebbleTimeSteel,-545,190,-733,30.6189933,-96.3394845,X
1500575983500,sera,PebbleTimeSteel,-562,151,-697,30.6189933,-96.3394845,X
1500575983540,sera,PebbleTimeSteel,-537,167,-692,30.6189933,-96.3394845,Z
1500575983580,sera,PebbleTimeSteel,-548,145,-663,30.6189933,-96.3394845,X
1500575983620,sera,PebbleTimeSteel,-564,82,-686,30.6189933,-96.3394845,X
1500575983660,sera,PebbleTimeSteel,-610,46,-709,30.6189933,-96.3394845,X
1500575983700,sera,PebbleTimeSteel,-570,97,-733,30.6189933,-96.3394845,Y
1500575983740,sera,PebbleTimeSteel,-542,113,-750,30.6189933,-96.3394845,X
1500575983780,sera,PebbleTimeSteel,-523,44,-826,30.6189933,-96.3394845,X
1500575983820,sera,PebbleTimeSteel,-516,82,-819,30.6189933,-96.3394845,X
1500575983860,sera,PebbleTimeSteel,-515,38,-779,30.6189933,-96.3394845,Z
1500575983900,sera,PebbleTimeSteel,-538,103,-552,30.6189933,-96.3394845,Y
1500575983940,sera,PebbleTimeSteel,-511,27,-835,30.6189933,-96.3394845,X
