Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long,XYZ
1500575880020,isaac,motorola-XT1096,-6.502651691,3.543418407,5.717353821,30.6186076,-96.3398112,X
1500575880090,isaac,motorola-XT1096,-6.684611321,5.171475887,4.098873138,30.6186076,-96.3398112,X
1500575880130,isaac,motorola-XT1096,-6.579266071,5.765237808,6.79953289,30.6186076,-96.3398112,Y
1500575880190,isaac,motorola-XT1096,-7.201758862,5.391742229,5.995080948,30.6186076,-96.3398112,X
1500575880250,isaac,motorola-XT1096,-3.993528366,5.027823448,4.395754337,30.6186076,-96.3398112,Z
1500575880310,isaac,motorola-XT1096,-4.108449936,8.092401505,2.652775526,30.6186076,-96.3398112,X
1500575880370,isaac,motorola-XT1096,-4.165910721,8.485051155,5.650316238,30.6186076,-96.3398112,X
1500575880430,isaac,motorola-XT1096,-3.591302633,6.617573261,5.31512785,30.6186076,-96.3398112,Y
1500575880520,isaac,motorola-XT1096,-3.49553442,7.354987621,5.056553841,30.6186076,-96.3398112,Y
1500575880540,isaac,motorola-XT1096,-5.458779812,5.851428986,6.042964935,30.6186076,-96.3398112,X
1500575880600,isaac,motorola-XT1096,-4.711789131,7.603984833,5.94719696,30.6186076,-96.3398112,Z
1500575880670,isaac,motorola-XT1096,-5.755661011,7.498639584,4.252102375,30.6186076,-96.3398112,Y
1500575880720,isaac,motorola-XT1096,-4.319139957,8.140285492,7.460332394,30.6186076,-96.3398112,Y
1500575880780,isaac,motorola-XT1096,-6.99106884,7.431602001,5.544970989,30.6186076,-96.3398112,Y
1500575880850,isaac,motorola-XT1096,-8.58081913,7.307103634,3.782838583,30.6186076,-96.3398112,Y
1500575880920,isaac,motorola-XT1096,-5.477933407,6.540958881,4.922478676,30.6186076,-96.3398112,Z
1500575880960,isaac,motorola-XT1096,-4.778826714,3.821146011,4.012681961,30.6186076,-96.3398112,Z
1500575881020,isaac,motorola-XT1096,-7.546523571,6.196194172,6.253654957,30.6186076,-96.3398112,X
1500575881100,isaac,motorola-XT1096,-8.216899872,6.847416878,2.499546528,30.6186076,-96.3398112,Z
1500575881140,isaac,motorola-XT1096,-9.212887764,4.845864296,4.165910721,30.6186076,-96.3398112,Z
1500575881200,isaac,motorola-XT1096,-4.596867085,4.42448473,4.702212334,30.6186076,-96.3398112,X
1500575881260,isaac,motorola-XT1096,-1.139639974,7.92001915,-0.383072257,30.6186076,-96.3398112,Y
1500575881340,isaac,motorola-XT1096,-7.939172745,8.03494072,7.173028469,30.6186076,-96.3398112,X
1500575881370,isaac,motorola-XT1096,-6.579266071,4.558559895,7.144298077,30.6186076,-96.3398112,Z
1500575881440,isaac,motorola-XT1096,-5.765237808,7.077260017,4.740519524,30.6186076,-96.3398112,X
1500575881510,isaac,motorola-XT1096,-5.841852188,5.544970989,3.371036053,30.6186076,-96.3398112,Z
1500575881550,isaac,motorola-XT1096,-5.286397457,5.861005783,5.382165432,30.6186076,-96.3398112,X
1500575881610,isaac,motorola-XT1096,-6.416460514,8.437167168,5.803544998,30.6186076,-96.3398112,Y
1500575881680,isaac,motorola-XT1096,-5.046977043,5.104437828,5.114014626,30.6186076,-96.3398112,Y
1500575881730,isaac,motorola-XT1096,-7.096413612,7.575253963,4.884171486,30.6186076,-96.3398112,X
1500575881790,isaac,motorola-XT1096,-6.493074894,5.410895824,3.677493811,30.6186076,-96.3398112,Y
1500575881860,isaac,motorola-XT1096,-7.240066051,4.730942726,6.694188118,30.6186076,-96.3398112,Z
1500575881920,isaac,motorola-XT1096,-5.650316238,5.908889771,3.687070608,30.6186076,-96.3398112,Z
1500575881970,isaac,motorola-XT1096,-6.924031258,4.472368717,3.620033026,30.6186076,-96.3398112,Y
1500575882030,isaac,motorola-XT1096,-5.803544998,6.560112476,7.7284832,30.6186076,-96.3398112,Z
1500575882090,isaac,motorola-XT1096,-4.644751072,7.738059998,1.81959331,30.6186076,-96.3398112,Y
1500575882150,isaac,motorola-XT1096,-7.795520782,5.621585369,4.089296341,30.6186076,-96.3398112,X
1500575882200,isaac,motorola-XT1096,-4.817133904,5.497087002,4.405331135,30.6186076,-96.3398112,X
1500575882260,isaac,motorola-XT1096,-5.286397457,6.406883717,3.476380825,30.6186076,-96.3398112,Y
1500575882320,isaac,motorola-XT1096,-6.368576527,5.612008572,3.438073635,30.6186076,-96.3398112,Z
1500575882380,isaac,motorola-XT1096,-7.412448406,7.80509758,4.865017891,30.6186076,-96.3398112,X
1500575882440,isaac,motorola-XT1096,-5.228936672,11.39640045,2.691082716,30.6186076,-96.3398112,X
1500575882520,isaac,motorola-XT1096,-3.08373189,3.246537447,7.603984833,30.6186076,-96.3398112,Z
1500575882560,isaac,motorola-XT1096,-2.298433542,8.408436775,1.446097851,30.6186076,-96.3398112,Z
1500575882620,isaac,motorola-XT1096,-5.506663799,12.06677628,3.667917013,30.6186076,-96.3398112,X
1500575882680,isaac,motorola-XT1096,-2.30801034,8.226476669,5.008669853,30.6186076,-96.3398112,X
1500575882740,isaac,motorola-XT1096,-3.859453201,9.605537415,4.031835556,30.6186076,-96.3398112,X
1500575882800,isaac,motorola-XT1096,-6.550535679,4.548983097,5.592854977,30.6186076,-96.3398112,X
1500575882860,isaac,motorola-XT1096,-3.093308687,8.54251194,6.473921299,30.6186076,-96.3398112,X
1500575882920,isaac,motorola-XT1096,-3.974374771,5.822698593,5.889736176,30.6186076,-96.3398112,Y
1500575882970,isaac,motorola-XT1096,-5.209783077,8.46589756,3.08373189,30.6186076,-96.3398112,X
1500575883030,isaac,motorola-XT1096,-3.869029999,8.006210327,5.535394192,30.6186076,-96.3398112,X
1500575883100,isaac,motorola-XT1096,-5.612008572,7.354987621,5.774814606,30.6186076,-96.3398112,X
1500575883150,isaac,motorola-XT1096,-4.941632271,8.274360657,4.414907932,30.6186076,-96.3398112,Z
1500575883210,isaac,motorola-XT1096,-7.115567684,6.87614727,2.863465309,30.6186076,-96.3398112,Z
1500575883270,isaac,motorola-XT1096,-4.414907932,8.523358345,0.909796655,30.6186076,-96.3398112,Y
1500575883340,isaac,motorola-XT1096,-7.019799232,5.707777023,7.910442352,30.6186076,-96.3398112,Y
1500575883390,isaac,motorola-XT1096,-2.940079689,5.98550415,3.782838583,30.6186076,-96.3398112,Z
1500575883450,isaac,motorola-XT1096,-8.312667847,6.090848923,4.414907932,30.6186076,-96.3398112,X
1500575883520,isaac,motorola-XT1096,-7.058106422,5.889736176,5.20020628,30.6186076,-96.3398112,X
1500575883560,isaac,motorola-XT1096,-6.138733387,5.650316238,4.338293552,30.6186076,-96.3398112,Z
1500575883620,isaac,motorola-XT1096,-7.431602001,4.750096321,4.520252705,30.6186076,-96.3398112,X
1500575883700,isaac,motorola-XT1096,-5.995080948,6.828263283,4.38617754,30.6186076,-96.3398112,Y
1500575883740,isaac,motorola-XT1096,-7.584830761,6.885724068,5.248090267,30.6186076,-96.3398112,X
1500575883800,isaac,motorola-XT1096,-4.38617754,7.575253963,3.849876404,30.6186076,-96.3398112,Z
1500575883860,isaac,motorola-XT1096,-6.224924564,6.655880928,4.721365929,30.6186076,-96.3398112,Y
1500575883940,isaac,motorola-XT1096,-5.420472622,7.10599041,4.865017891,30.6186076,-96.3398112,Y
1500575883980,isaac,motorola-XT1096,-4.003105164,8.178592682,4.328716755,30.6186076,-96.3398112,Y
1500575884040,isaac,motorola-XT1096,-4.979939461,7.795520782,5.228936672,30.6186076,-96.3398112,Z
1500575884120,isaac,motorola-XT1096,-3.993528366,8.111555099,4.156333923,30.6186076,-96.3398112,Z
1500575884160,isaac,motorola-XT1096,-2.997540474,7.211335659,5.430049419,30.6186076,-96.3398112,X
1500575884220,isaac,motorola-XT1096,-2.595314741,9.414001465,4.472368717,30.6186076,-96.3398112,Y
1500575884280,isaac,motorola-XT1096,-3.715801001,7.833827972,5.248090267,30.6186076,-96.3398112,Y
1500575884360,isaac,motorola-XT1096,-3.811569214,7.201758862,4.022258759,30.6186076,-96.3398112,X
1500575884390,isaac,motorola-XT1096,-5.20020628,8.561665535,5.774814606,30.6186076,-96.3398112,X
1500575884450,isaac,motorola-XT1096,-6.042964935,7.173028469,5.765237808,30.6186076,-96.3398112,Z
1500575884510,isaac,motorola-XT1096,-4.481945515,6.91445446,4.730942726,30.6186076,-96.3398112,Z
1500575884590,isaac,motorola-XT1096,-3.993528366,6.215347767,5.114014626,30.6186076,-96.3398112,X
1500575884630,isaac,motorola-XT1096,-5.343858242,6.320692539,5.736507416,30.6186076,-96.3398112,X
1500575884690,isaac,motorola-XT1096,-6.464344502,8.226476669,5.075707436,30.6186076,-96.3398112,Y
1500575884770,isaac,motorola-XT1096,-9.691728592,6.627150536,4.817133904,30.6186076,-96.3398112,Y
1500575884810,isaac,motorola-XT1096,-3.505111218,6.042964935,4.491522312,30.6186076,-96.3398112,Y
1500575884870,isaac,motorola-XT1096,-8.647856712,7.02937603,5.793968201,30.6186076,-96.3398112,Z
1500575884950,isaac,motorola-XT1096,-3.524264812,7.460332394,2.719813108,30.6186076,-96.3398112,Z
1500575885000,isaac,motorola-XT1096,-6.684611321,4.654327869,5.295974255,30.6186076,-96.3398112,Y
1500575885040,isaac,motorola-XT1096,-3.907337189,4.472368717,5.066130638,30.6179377,-96.3409216,X
1500575885120,isaac,motorola-XT1096,-8.916007042,5.640739441,4.817133904,30.6179377,-96.3409216,X
1500575885160,isaac,motorola-XT1096,-4.970362663,5.592854977,4.050989151,30.6179377,-96.3409216,X
1500575885220,isaac,motorola-XT1096,-5.267243862,7.757213593,5.784391403,30.6179377,-96.3409216,X
1500575885280,isaac,motorola-XT1096,-7.95832634,4.740519524,5.075707436,30.6179377,-96.3409216,X
1500575885340,isaac,motorola-XT1096,-8.054094315,7.316680431,5.085284233,30.6179377,-96.3409216,X
1500575885400,isaac,motorola-XT1096,-3.801992416,7.259219646,3.706224203,30.6179377,-96.3409216,X
1500575885460,isaac,motorola-XT1096,-6.033388138,5.31512785,4.414907932,30.6179377,-96.3409216,X
1500575885520,isaac,motorola-XT1096,-2.940079689,6.320692539,5.870582581,30.6179377,-96.3409216,Z
1500575885580,isaac,motorola-XT1096,-5.679046631,7.747636795,5.267243862,30.6179377,-96.3409216,X
1500575885640,isaac,motorola-XT1096,-2.987963676,8.532935143,4.50109911,30.6179377,-96.3409216,Y
1500575885710,isaac,motorola-XT1096,-2.298433542,7.086836815,5.267243862,30.6179377,-96.3409216,Z
1500575885760,isaac,motorola-XT1096,-5.075707436,10.49618053,7.278373241,30.6179377,-96.3409216,Y
1500575885820,isaac,motorola-XT1096,-4.769249916,6.588842869,5.114014626,30.6179377,-96.3409216,Z
1500575885870,isaac,motorola-XT1096,-2.968810081,5.027823448,6.560112476,30.6179377,-96.3409216,X
1500575885940,isaac,motorola-XT1096,-2.671929121,11.15697956,4.884171486,30.6179377,-96.3409216,Z
1500575885990,isaac,motorola-XT1096,-5.535394192,9.232041359,4.970362663,30.6179377,-96.3409216,X
1500575886050,isaac,motorola-XT1096,-4.740519524,6.502651691,5.372588634,30.6179377,-96.3409216,Z
1500575886120,isaac,motorola-XT1096,-4.46279192,5.755661011,5.16189909,30.6179377,-96.3409216,X
1500575886170,isaac,motorola-XT1096,-6.263231754,6.971915245,4.855441093,30.6179377,-96.3409216,X
1500575886230,isaac,motorola-XT1096,-7.747636795,5.688623428,3.648763418,30.6179377,-96.3409216,Y
1500575886330,isaac,motorola-XT1096,-5.650316238,7.278373241,4.711789131,30.6179377,-96.3409216,Y
1500575886360,isaac,motorola-XT1096,-4.38617754,6.885724068,5.535394192,30.6179377,-96.3409216,X
1500575886410,isaac,motorola-XT1096,-7.92001915,4.673481941,6.186617374,30.6179377,-96.3409216,X
1500575886470,isaac,motorola-XT1096,-7.431602001,5.066130638,4.434061527,30.6179377,-96.3409216,X
1500575886520,isaac,motorola-XT1096,-6.531382084,6.004657745,7.268796444,30.6179377,-96.3409216,Z
1500575886580,isaac,motorola-XT1096,-4.721365929,6.02381134,4.175487995,30.6179377,-96.3409216,Z
1500575886640,isaac,motorola-XT1096,-5.372588634,6.426037312,5.477933407,30.6179377,-96.3409216,Z
1500575886720,isaac,motorola-XT1096,-5.631162167,9.62469101,7.747636795,30.6179377,-96.3409216,Z
1500575886760,isaac,motorola-XT1096,-5.98550415,9.730035782,5.286397457,30.6179377,-96.3409216,Y
1500575886820,isaac,motorola-XT1096,-4.050989151,7.268796444,5.35343504,30.6179377,-96.3409216,X
1500575886890,isaac,motorola-XT1096,-3.256114244,8.082824707,5.659893036,30.6179377,-96.3409216,Z
1500575886940,isaac,motorola-XT1096,-3.639186621,9.404424667,5.477933407,30.6179377,-96.3409216,Y
1500575887000,isaac,motorola-XT1096,-3.983951569,8.916007042,4.127603531,30.6179377,-96.3409216,Z
1500575887060,isaac,motorola-XT1096,-4.721365929,8.418013573,3.53384161,30.6179377,-96.3409216,Z
1500575887120,isaac,motorola-XT1096,-5.832275391,8.015787125,4.750096321,30.6179377,-96.3409216,Y
1500575887180,isaac,motorola-XT1096,-4.27125597,6.828263283,5.085284233,30.6179377,-96.3409216,X
1500575887240,isaac,motorola-XT1096,-3.677493811,9.346963882,5.027823448,30.6179377,-96.3409216,Z
