Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long,XYZ
1500568491290,lauren,motorola-XT1096,5.142745018,8.638279915,3.007117271,30.6190205,-96.3396207,Y
1500568491350,lauren,motorola-XT1096,3.801992416,8.370129585,6.10042572,30.6190205,-96.3396207,Y
1500568491410,lauren,motorola-XT1096,2.940079689,9.576807022,3.390189648,30.6190205,-96.3396207,Z
1500568491500,lauren,motorola-XT1096,3.19865346,8.063671112,4.38617754,30.6190205,-96.3396207,Z
1500568491520,lauren,motorola-XT1096,5.602431774,7.02937603,2.585737944,30.6190205,-96.3396207,X
1500568491580,lauren,motorola-XT1096,4.932055473,8.197746277,4.865017891,30.6190205,-96.3396207,Y
1500568491650,lauren,motorola-XT1096,6.435614109,9.059659004,3.399766445,30.6190205,-96.3396207,Y
1500568491710,lauren,motorola-XT1096,4.27125597,7.967903137,2.327163935,30.6190205,-96.3396207,Y
1500568491760,lauren,motorola-XT1096,4.845864296,8.054094315,0.555454791,30.6190205,-96.3396207,Y
1500568491820,lauren,motorola-XT1096,2.901772499,8.532935143,2.298433542,30.6190205,-96.3396207,Y
1500568491900,lauren,motorola-XT1096,3.811569214,6.445190907,2.978386879,30.6190205,-96.3396207,Z
1500568491940,lauren,motorola-XT1096,6.042964935,9.107542992,2.059013367,30.6190205,-96.3396207,Z
1500568492000,lauren,motorola-XT1096,4.903325081,9.174580574,3.217807055,30.6190205,-96.3396207,X
1500568492060,lauren,motorola-XT1096,3.648763418,8.494627953,2.145204782,30.6190205,-96.3396207,Y
1500568492140,lauren,motorola-XT1096,7.115567684,9.634267807,3.562572241,30.6190205,-96.3396207,X
1500568492180,lauren,motorola-XT1096,6.962338448,8.312667847,3.351882458,30.6190205,-96.3396207,Z
1500568492240,lauren,motorola-XT1096,4.34787035,6.02381134,2.183511972,30.6190205,-96.3396207,Y
1500568492300,lauren,motorola-XT1096,3.974374771,6.569689274,2.11647439,30.6190205,-96.3396207,Z
1500568492350,lauren,motorola-XT1096,3.983951569,11.11867237,2.557007313,30.6190205,-96.3396207,Y
1500568492410,lauren,motorola-XT1096,2.509123325,8.61912632,2.518700123,30.6190205,-96.3396207,X
1500568492480,lauren,motorola-XT1096,3.074155092,10.16099167,2.853888512,30.6190205,-96.3396207,X
1500568492530,lauren,motorola-XT1096,4.19464159,9.461885452,1.752555609,30.6190205,-96.3396207,Z
1500568492590,lauren,motorola-XT1096,1.771709204,9.701305389,2.384624958,30.6190205,-96.3396207,Z
1500568492650,lauren,motorola-XT1096,3.38061285,8.140285492,3.08373189,30.6190205,-96.3396207,Y
1500568492710,lauren,motorola-XT1096,3.361459255,7.738059998,2.202665567,30.6190205,-96.3396207,Y
