Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long,XYZ
1500568813400,maeve,motorola-XT1096,0.737414122,11.34851646,-2.173935175,30.6189364,-96.3397255,X
1500568813450,maeve,motorola-XT1096,1.704671621,11.54962921,-1.924938202,30.6189364,-96.3397255,X
1500568813510,maeve,motorola-XT1096,1.944091797,10.27591324,-2.346317768,30.6189364,-96.3397255,Y
1500568813580,maeve,motorola-XT1096,2.250549555,8.03494072,-1.810016513,30.6189364,-96.3397255,Z
1500568813630,maeve,motorola-XT1096,-1.206677675,10.11310768,-1.22583127,30.6189364,-96.3397255,Y
1500568813690,maeve,motorola-XT1096,1.810016513,12.20085144,-1.168370485,30.6189364,-96.3397255,Y
1500568813750,maeve,motorola-XT1096,2.480392933,8.801085472,-2.56658411,30.6189364,-96.3397255,Z
1500568813820,maeve,motorola-XT1096,-0.89064306,11.33893967,-1.216254473,30.6189364,-96.3397255,X
1500568813870,maeve,motorola-XT1096,-0.172382519,10.23760605,-1.426944256,30.6189364,-96.3397255,Y
1500568813930,maeve,motorola-XT1096,-0.823605359,9.902418137,-1.733402014,30.6189364,-96.3397255,X
1500568814000,maeve,motorola-XT1096,0.287304193,10.40998936,-2.901772499,30.6189364,-96.3397255,Z
1500568814040,maeve,motorola-XT1096,2.135627985,6.924031258,-2.097320795,30.6189364,-96.3397255,Y
1500568814100,maeve,motorola-XT1096,2.863465309,8.906430244,-2.23139596,30.6189364,-96.3397255,Z
1500568814200,maeve,motorola-XT1096,-0.842759013,12.08592987,-1.924938202,30.6189364,-96.3397255,X
1500568814240,maeve,motorola-XT1096,-3.763684988,11.53047562,-4.625597477,30.6189364,-96.3397255,Y
1500568814280,maeve,motorola-XT1096,-0.316034615,7.862558365,-2.777273893,30.6189364,-96.3397255,X
1500568814340,maeve,motorola-XT1096,1.273715258,7.862558365,-2.633621931,30.6189364,-96.3397255,Z
1500568814410,maeve,motorola-XT1096,1.905784607,7.69017601,-2.873042107,30.6189364,-96.3397255,X
1500568814460,maeve,motorola-XT1096,1.101332784,11.14740276,-2.173935175,30.6189364,-96.3397255,Z
1500568814520,maeve,motorola-XT1096,2.212242365,12.49773312,-1.407790542,30.6189364,-96.3397255,Y
1500568814590,maeve,motorola-XT1096,3.19865346,9.940725327,0.134075299,30.6189364,-96.3397255,X
1500568814640,maeve,motorola-XT1096,-0.766144514,9.31823349,-2.509123325,30.6189364,-96.3397255,Y
1500568814700,maeve,motorola-XT1096,2.758120298,11.07078838,-0.37349546,30.6189364,-96.3397255,X
1500568814790,maeve,motorola-XT1096,1.340752959,8.236053467,-3.045424461,30.6189364,-96.3397255,Y
1500568814830,maeve,motorola-XT1096,-0.938527048,11.69328117,-2.576161146,30.6189364,-96.3397255,Z
1500568814880,maeve,motorola-XT1096,0.421379507,8.46589756,-1.570596337,30.6189364,-96.3397255,Z
1500568814940,maeve,motorola-XT1096,0.316034615,11.20486355,-1.244984865,30.6189364,-96.3397255,Y
1500568815010,maeve,motorola-XT1096,1.197100878,12.49773312,-2.949656487,30.6189364,-96.3397255,X
1500568815050,maeve,motorola-XT1096,-0.172382519,8.781931877,-1.388636947,30.6189364,-96.3397255,Y
1500568815110,maeve,motorola-XT1096,2.23139596,7.575253963,-2.652775526,30.6189364,-96.3397255,Z
1500568815200,maeve,motorola-XT1096,2.15478158,9.605537415,-3.08373189,30.6189364,-96.3397255,Y
1500568815240,maeve,motorola-XT1096,-0.622492433,12.23915863,-3.34230566,30.6189364,-96.3397255,Z
1500568815290,maeve,motorola-XT1096,-0.057460841,6.263231754,-2.509123325,30.6189364,-96.3397255,X
1500568815380,maeve,motorola-XT1096,-0.019153614,8.494627953,-1.89620769,30.6189364,-96.3397255,Z
1500568815420,maeve,motorola-XT1096,0.976834297,11.93270111,-2.901772499,30.6189364,-96.3397255,Y
1500568815470,maeve,motorola-XT1096,1.426944256,10.86009884,-2.738966703,30.6189364,-96.3397255,Z
1500568815530,maeve,motorola-XT1096,-0.555454791,8.216899872,-2.288856745,30.6189364,-96.3397255,Y
1500568815590,maeve,motorola-XT1096,1.474828243,11.14740276,-2.011129379,30.6189364,-96.3397255,X
1500568815640,maeve,motorola-XT1096,1.63763392,12.44984913,-1.915361404,30.6189364,-96.3397255,Y
1500568815710,maeve,motorola-XT1096,1.063025594,8.963891029,-1.034295082,30.6189364,-96.3397255,Z
1500568815800,maeve,motorola-XT1096,2.499546528,8.293514252,-2.183511972,30.6189364,-96.3397255,Y
1500568815820,maeve,motorola-XT1096,-0.114921682,11.80820274,-1.541865945,30.6189364,-96.3397255,Z
1500568815880,maeve,motorola-XT1096,-0.162805721,9.538499832,-2.365471363,30.6189364,-96.3397255,X
1500568815940,maeve,motorola-XT1096,0.67037648,11.21444035,-1.589749932,30.6189364,-96.3397255,Z
1500568816020,maeve,motorola-XT1096,-0.852335811,10.66856289,-3.064578056,30.6189364,-96.3397255,Z
1500568816060,maeve,motorola-XT1096,2.52827692,8.264783859,-0.852335811,30.6189364,-96.3397255,X
1500568816120,maeve,motorola-XT1096,2.020706177,9.500192642,-1.484405041,30.6189364,-96.3397255,Z
1500568816200,maeve,motorola-XT1096,1.292868972,12.44027233,-3.438073635,30.6189364,-96.3397255,Y
1500568816240,maeve,motorola-XT1096,2.930502892,7.393294811,-1.905784607,30.6189364,-96.3397255,Z
1500568816300,maeve,motorola-XT1096,0.63206923,7.422025204,-1.59932673,30.6189364,-96.3397255,X
1500568816370,maeve,motorola-XT1096,-2.997540474,11.77947235,-4.319139957,30.6189364,-96.3397255,X
1500568816420,maeve,motorola-XT1096,0.804451764,8.73404789,-2.068590164,30.6189364,-96.3397255,Y
1500568816480,maeve,motorola-XT1096,1.771709204,11.32936287,-2.23139596,30.6189364,-96.3397255,Y
1500568816540,maeve,motorola-XT1096,-0.507570744,8.73404789,-2.844311714,30.6189364,-96.3397255,Y
1500568816600,maeve,motorola-XT1096,0.497993946,8.973467827,-2.15478158,30.6189364,-96.3397255,Z
1500568816650,maeve,motorola-XT1096,2.221819162,12.65096188,-0.727837324,30.6189364,-96.3397255,X
1500568816710,maeve,motorola-XT1096,1.110909581,12.02846909,-2.671929121,30.6189364,-96.3397255,X
1500568816780,maeve,motorola-XT1096,2.518700123,7.335834026,-2.45166254,30.6189364,-96.3397255,X
1500568816830,maeve,motorola-XT1096,0.239420176,10.12268448,0.421379507,30.6189364,-96.3397255,Y
1500568816890,maeve,motorola-XT1096,-0.440533102,11.5879364,-2.777273893,30.6189364,-96.3397255,Y
1500568816950,maeve,motorola-XT1096,1.752555609,8.77235508,-1.714248419,30.6189364,-96.3397255,Z
1500568817020,maeve,motorola-XT1096,-0.746990919,11.14740276,-1.551442742,30.6189364,-96.3397255,Z
