Variance X,Variance Y,Variance Z,Avg Height X,Avg Height Y,Avg Height Z,Stdev Height X,Stdev Height Y,Stdev Height Z,Energy X,Energy Y,Energy Z,Entropy X,Entropy Y,Entropy Z,Average X,Average Y,Average Z,Average XY,Average XZ,Average YZ,Standard Deviation X,Standard Deviation Y,Standard Deviation Z,Correlation XY,Correlation XZ,Correlation YZ,RMS X,RMS Y,RMS Z,Axis Order XY,Axis Order XZ,Axis Order YZ,Num Peaks X,Num Peaks Y,Num Peaks Z,Average Peaks X,Average Peaks Y,Average Peaks Z,Standard Deviation Peaks X,Standard Deviation Peaks Y,Standard Deviation Peaks Z,Num Valleys X,Num Valleys Y,Num Valleys Z,Average Valleys X,Average Valleys Y,Average Valleys Z,Standard Deviation Valleys X,Standard Deviation Valleys Y,Standard Deviation Valleys Z,Zero Crossings X,Zero Crossings Y,Zero Crossings Z,Num Points,RoadType
14025.280000000002,47008.038399999998,33081.385599999994,346.0,797.5,533.0,0.0,34.5,0.0,7431552.999999997,1180856.0,16071374.000000006,-0.0,0.3130823097854913,-0.0,-532.2,-15.04,-780.88,-499.64,254.96,754.6,118.42837497829649,216.81337228132398,181.88288979450485,12148.52,402219.64,-469.32,545.2174978850184,217.33439672541482,801.7823644855255,1,20,0,1,1,1,-388.0,359.0,-451.0,0.0,0.0,0.0,1,2,1,-734.0,-438.5,-984.0,0.0,34.5,0.0,0,0,0,25,bricks
15804.965976331361,19215.871301775147,26186.309171597633,0.0,441.0,748.0,0.0,53.0,0.0,5405006.999999997,1459228.9999999988,15391468.999999998,0.004536361827693016,0.0884757053752205,-0.0,-438.2692307692308,192.1153846153846,-752.1923076923077,-606.0,293.2307692307692,899.2307692307693,125.71780294107658,138.62132340219216,161.82184392595963,-92529.76923076923,328194.1923076923,-147361.6923076923,455.9439489842854,236.90545014349564,769.4020905372411,1,1,0,0,2,1,-432.0,436.0,-236.0,0.0,53.0,0.0,1,1,1,-719.0,-5.0,-984.0,0.0,0.0,0.0,0,0,0,26,bricks
27487.841715976327,67838.409763313612,75161.378698224871,0.0,0.0,0.0,0.0,0.0,0.0,7574530.999999997,2326515.0000000033,18183956.000000007,0.00387328398095853,0.31112694790479006,-0.0,-513.6538461538462,147.1153846153846,-790.0769230769231,-631.6923076923077,235.5,867.1923076923077,165.79457685936634,260.4580767864833,274.1557562741021,-35005.692307692305,443113.1923076923,-71322.26923076923,539.7481962773154,299.1343279428928,836.2911712298074,0,0,0,1,0,1,18.0,127.5,-374.0,0.0,0.0,0.0,0,0,0,-532.5,127.5,-751.5,0.0,0.0,0.0,0,0,0,26,bricks
20678.92455621302,67872.847633136102,88319.397928994076,304.0,0.0,0.0,176.07006181252584,0.0,0.0,9169588.999999998,1849739.0000000019,21866236.999999993,-0.0,0.5287385993907009,-0.0,-576.1923076923077,57.19230769230769,-867.5769230769231,-612.5769230769231,250.46153846153845,863.0384615384615,143.80168481701813,260.5241785960299,297.18579698396434,-17070.846153846152,524040.3076923077,5115.7692307692305,593.8657255642895,266.7279657109612,917.0654913279724,0,3,0,1,1,1,-406.0,1215.0,-374.0,0.0,0.0,0.0,3,0,0,-831.0,59.0,-832.0,49.44357052910587,0.0,0.0,0,0,0,26,bricks
21631.408284023673,23576.775147928991,27660.822485207096,337.0,0.0,716.0,272.0,0.0,26.0,6262658.000000001,613750.0000000002,21168079.999999996,-0.0,0.19609614487137209,-0.0,-468.2307692307692,-5.384615384615385,-886.8461538461538,-453.38461538461536,403.4230769230769,856.8076923076923,147.076198903914,153.54730589602994,166.3154306888182,11199.884615384615,420808.76923076925,6262.7307692307695,490.7865743258077,153.64169105672207,902.3064463234889,0,1,0,1,0,2,-225.0,31.5,-624.0,0.0,0.0,26.0,2,0,1,-801.5,31.5,-1340.0,32.5,0.0,0.0,0,0,0,26,bricks
22734.775147928995,28613.770710059169,35167.386094674555,525.0,670.0,465.0,59.40258131316068,0.0,264.389863648363,5570292.000000008,744658.9999999992,22077077.0,-0.0,0.17398216742681158,-0.0,-437.61538461538464,-5.1923076923076925,-902.1923076923077,-437.1923076923077,434.7307692307692,871.9230769230769,150.78055295007044,169.15605431097984,187.52969390119142,1448.7692307692307,402322.3076923077,-8587.192307692309,462.8628306528836,169.2357254518997,921.4761777462542,25,0,0,2,1,1,-224.0,321.0,-598.0,1.0,0.0,0.0,2,1,3,-770.5,-349.0,-1244.3333333333333,63.5,0.0,80.97050217345958,0,1,0,26,bricks
24329.167159763314,29717.309171597633,71465.213017751477,362.75,480.0,0.0,178.4521994821022,64.99743584685989,0.0,6885942.999999998,964086.9999999994,19885884.0,-0.0,0.46122935425406697,0.0029231199533730685,-490.4230769230769,85.8076923076923,-832.6923076923077,-553.5769230769231,319.38461538461536,872.9615384615385,155.97809833359076,172.38709108166316,267.3297832598371,-38044.07692307692,393781.6538461539,-83518.76923076923,514.6299267808486,192.56237750601554,874.5522810602533,0,3,0,3,2,0,-256.3333333333333,298.0,-850.0,23.921166824012207,23.0,0.0,2,2,1,-729.0,-171.5,-1251.0,22.0,54.5,0.0,0,0,0,26,bricks
18198.255917159768,32777.841715976334,90522.562130177495,423.6666666666667,661.0,615.0,34.56716489515576,0.0,547.0,6866594.999999998,989467.0000000002,16870786.000000004,-0.0,0.502223824951155,0.0032563068957191573,-495.88461538461536,72.65384615384616,-747.2307692307693,-539.9230769230769,263.96153846153845,803.8846153846154,134.9009114763861,181.0465180995656,300.86967632212037,-37919.0,349384.42307692306,-62080.5,513.9064191974135,195.080555353226,805.5286367444578,0,20,0,2,1,1,-282.0,437.0,22.0,4.0,0.0,0.0,2,1,2,-695.5,-224.0,-1106.0,34.5,0.0,34.0,0,1,0,26,bricks
18492.792899408283,33698.812130177517,79880.859467455623,251.0,641.0,253.0,137.0,63.7102817447859,0.0,6960828.000000006,939283.0000000014,14297310.999999998,-0.0,0.5274791371839356,-0.0,-499.2307692307692,49.26923076923077,-685.5769230769231,-538.8461538461538,156.0,694.8461538461538,135.98820867784193,183.5723621087268,282.6320213058945,-23010.19230769231,334568.6923076923,-24128.96153846154,517.4206739647672,190.06911698318913,741.5501176070818,0,9,0,2,2,2,-330.0,342.0,-257.5,57.0,36.0,126.5,1,3,0,-661.0,-280.0,-646.0,0.0,55.71355310873648,0.0,0,1,0,26,bricks
26135.025147928995,20784.852071005913,110670.70562130176,271.5,566.0,880.0,145.5,0.0,0.0,8152422.999999997,807655.9999999988,18156083.0,-0.0,0.3640059640373386,-0.0,-536.1153846153846,101.38461538461539,-766.5769230769231,-615.0,226.30769230769232,841.3076923076923,161.66330798276087,144.16952545876646,332.67206919322484,-49993.692307692305,397669.23076923075,-82556.19230769231,559.9595795851972,176.24894980592737,835.6499773322469,0,9,0,1,1,1,-314.0,306.0,-384.0,0.0,0.0,0.0,2,1,1,-794.0,-260.0,-1264.0,63.0,0.0,0.0,0,0,0,26,bricks
