Variance X,Variance Y,Variance Z,Avg Height X,Avg Height Y,Avg Height Z,Stdev Height X,Stdev Height Y,Stdev Height Z,Energy X,Energy Y,Energy Z,Entropy X,Entropy Y,Entropy Z,Average X,Average Y,Average Z,Average XY,Average XZ,Average YZ,Standard Deviation X,Standard Deviation Y,Standard Deviation Z,Correlation XY,Correlation XZ,Correlation YZ,RMS X,RMS Y,RMS Z,Axis Order XY,Axis Order XZ,Axis Order YZ,Num Peaks X,Num Peaks Y,Num Peaks Z,Average Peaks X,Average Peaks Y,Average Peaks Z,Standard Deviation Peaks X,Standard Deviation Peaks Y,Standard Deviation Peaks Z,Num Valleys X,Num Valleys Y,Num Valleys Z,Average Valleys X,Average Valleys Y,Average Valleys Z,Standard Deviation Valleys X,Standard Deviation Valleys Y,Standard Deviation Valleys Z,Zero Crossings X,Zero Crossings Y,Zero Crossings Z,Num Points,RoadType
20411.945599999999,15650.639999999999,80589.110400000005,360.0,286.5,1124.0,62.90945874826774,230.5,0.0,7189422.000000002,477114.9999999999,17473778.999999996,-0.0,0.4703538598819646,-0.0,-516.88,58.6,-786.36,-556.92,254.12,811.04,142.87038041525614,125.10251796027129,283.8822121937195,-31209.12,395714.36,-52720.8,536.2619509157814,138.14702313115544,836.0329897797096,0,5,0,3,2,1,-316.6666666666667,290.0,-279.0,60.97176031209494,28.0,0.0,3,1,1,-700.0,-199.0,-1403.0,28.083209693100727,0.0,0.0,0,0,0,25,bricks
31730.332840236686,20944.159763313612,139005.91863905324,414.0,0.0,1371.3333333333333,0.0,0.0,79.98472076312798,7511304.999999993,582855.9999999999,15437465.000000004,-0.0,0.5257575181896146,0.022027374159893188,-507.11538461538464,38.38461538461539,-674.3461538461538,-535.7692307692307,167.3846153846154,703.1538461538462,178.13010088201455,144.72097209220786,372.83497507483554,-18840.076923076922,304058.3461538461,-25232.884615384617,537.4907870409,149.72487589421627,770.550876870667,0,16,1,1,1,2,-278.0,365.0,58.5,0.0,0.0,78.5,1,0,2,-692.0,63.5,-1290.5,0.0,0.0,11.5,0,0,0,26,bricks
32119.551775147927,25615.24408284024,186323.46301775146,678.0,107.0,1347.3333333333333,0.0,0.0,66.74495403316185,8205441.000000002,667489.0000000001,16266575.000000006,-0.0,0.23624887834474836,0.02842995994027656,-532.4230769230769,-7.576923076923077,-662.8076923076923,-514.6538461538462,118.3076923076923,632.9615384615385,179.21928404931185,160.0476306692487,431.6520161168618,15206.653846153846,331529.03846153844,7595.0,561.7774333447229,160.22688240789637,790.9725026826154,0,10,3,1,2,2,-158.0,311.5,58.5,0.0,53.5,78.5,1,0,2,-836.0,-1.0,-1321.5,0.0,0.0,19.5,0,0,0,26,bricks
38746.386094674555,18231.751479289938,130244.1597633136,713.0,470.0,905.3333333333334,0.0,0.0,569.7545280401221,8724606.999999996,523660.0000000001,16331568.00000001,-0.0,0.5306543747011573,0.0059395473601081845,-544.8076923076923,43.69230769230769,-705.6153846153846,-575.6153846153846,137.19230769230768,712.8076923076923,196.84101730755853,135.02500316345098,360.8935573868195,-25228.76923076923,390785.1153846154,-33035.692307692305,579.2769697582562,141.91817794338127,792.5510903211418,0,10,1,1,1,1,-236.0,258.0,38.0,0.0,0.0,0.0,1,1,3,-949.0,-212.0,-1278.3333333333333,0.0,0.0,61.369554521946974,0,0,0,26,bricks
35960.597633136094,19772.153846153848,123675.74556213018,708.3333333333334,602.0,616.0,84.12820903570666,0.0,563.1358628253043,9811778.0,648860.0000000005,17613457.999999996,-0.0,0.46112373740362916,-0.0,-584.3076923076923,72.0,-744.1538461538462,-621.5769230769231,179.53846153846155,801.1153846153846,189.63279682886105,140.61349098203146,351.67562548765045,-34750.11538461538,426596.23076923075,-70039.80769230769,614.3094309247392,157.97516844793628,823.0678540118623,0,17,0,2,1,2,-326.5,334.0,-168.0,28.5,0.0,3.0,2,1,3,-1020.5,-268.0,-1295.0,71.5,0.0,80.06663891201295,0,1,0,26,bricks
30757.309171597633,19484.532544378701,187537.10059171601,85.0,552.5,605.6,9.0,49.5,465.4926852271687,7727506.999999998,582198.0000000002,25806564.000000015,-0.0,0.5138373929872486,-0.0,-516.1923076923077,53.92307692307692,-897.2307692307693,-541.5,359.9230769230769,901.4230769230769,175.3776187875683,139.58700707579732,433.0555398464682,-18927.923076923078,414911.8461538461,-82599.23076923077,545.1713562654477,149.64033804168838,996.2731321510953,0,6,0,0,1,5,-512.0,334.0,-296.8,0.0,0.0,119.60501661719712,3,2,1,-793.0,-218.5,-1391.0,69.53176732017292,49.5,0.0,0,1,0,26,bricks
60235.852071005924,18087.102071005917,263420.53402366868,0.0,661.0,1744.5,0.0,0.0,291.5,9186662.0,546405.0000000002,24303465.000000007,-0.0,0.4957921895191366,0.049925581384692296,-541.3846153846154,54.11538461538461,-819.3461538461538,-551.1923076923077,279.0769230769231,830.2692307692307,245.429933119426,134.48829715259953,513.2451013148286,-29222.23076923077,474892.76923076925,-74498.53846153847,594.4183323604294,144.96750298972844,966.8240035529495,0,16,2,1,1,2,-116.0,265.0,97.5,0.0,0.0,291.5,0,1,1,-484.0,-396.0,-1647.0,0.0,0.0,0.0,0,0,0,26,bricks
67654.159763313612,40197.99408284024,234066.36094674558,885.0,494.6666666666667,1923.0,0.0,336.7098982144059,0.0,10070161.999999998,1045147.9999999993,19260574.0,-0.0,0.005639908696939357,0.057008545039794224,-565.3846153846154,0.07692307692307693,-711.8461538461538,-552.4615384615385,142.23076923076923,694.6923076923077,260.10413253793877,200.49437419249506,483.80405222232844,16113.0,385625.96153846156,-4522.692307692308,622.3455013711621,200.49438894891796,860.692342066727,0,11,3,1,2,1,-248.0,274.0,389.0,0.0,11.0,0.0,1,2,1,-1133.0,-457.0,-1534.0,0.0,61.0,0.0,0,0,1,26,bricks
69146.674556213024,42509.621301775151,195340.62869822484,1003.0,781.0,1133.75,0.0,0.0,461.7506767726497,9768767.99999999,1122310.0000000002,18541420.999999996,-0.0,0.42202636717758185,0.004604571168606944,-553.6923076923077,25.615384615384617,-719.5769230769231,-544.8076923076923,170.03846153846155,714.8461538461538,262.9575527651051,206.17861504475957,441.9735610850776,-4381.038461538462,423494.8076923077,-20907.384615384617,612.9615372548641,207.7637341567802,844.4711818191766,1,14,2,1,1,2,-90.0,263.0,-173.5,0.0,0.0,55.5,1,1,3,-1093.0,-518.0,-1511.3333333333333,0.0,0.0,158.52724967301012,0,1,0,26,bricks
84537.196745562134,34675.390532544377,245323.97633136096,1061.5,0.0,1680.6666666666667,31.5,0.0,214.23092421237627,9787128.999999998,905547.9999999998,17812522.000000007,-0.0,0.3050836080222548,0.02951690372983482,-540.2692307692307,12.384615384615385,-663.1538461538462,-539.0384615384615,107.11538461538461,646.1538461538462,290.75281038291297,186.21329311449378,495.30190422747313,14609.423076923076,324367.53846153844,-10831.961538461539,613.5373162746814,186.6246747640012,827.7058656310223,0,13,2,1,1,2,0.0,447.0,91.0,0.0,0.0,61.0,2,0,2,-1061.5,27.0,-1546.5,31.5,0.0,190.5,0,0,0,26,bricks
242110.60946745562,76230.397928994091,661426.7115384615,492.0,0.0,1408.5,0.0,0.0,480.5,10901458.000000006,2024799.0,33941257.000000015,0.2778540883431223,0.46418564482354097,0.18016788844785653,-420.9230769230769,40.57692307692308,-802.5,-460.5,314.7692307692308,775.2692307692307,492.04736506504696,276.0985293857866,813.2814466950919,-50839.42307692308,451917.03846153844,-157379.42307692306,647.5236259425953,279.0643019366408,1142.555452281622,3,10,5,0,0,2,-488.5,27.0,616.0,0.0,0.0,464.0,2,1,1,-1276.0,-484.0,-1737.0,246.0,0.0,0.0,1,1,0,26,bricks
244702.68786982246,68797.102071005924,574980.67455621308,0.0,0.0,2602.0,0.0,0.0,0.0,11611980.999999994,2422397.000000002,41351035.99999999,0.26584045173975246,0.33817603643213584,0.13771500269774184,-449.34615384615387,156.1153846153846,-1007.6923076923077,-567.7692307692307,577.6923076923077,1145.4615384615386,494.6743250562156,262.2920167885518,758.2748014778106,-114170.34615384616,598237.7692307692,-264037.6538461539,668.2923416036981,305.2361632975611,1261.1203200085477,3,20,3,0,0,1,-458.5,96.0,108.0,0.0,0.0,0.0,1,1,1,-1522.0,-495.0,-2494.0,0.0,0.0,0.0,0,1,1,26,bricks
104290.47485207101,91639.828402366868,252864.32692307694,1369.0,1037.0,1471.0,0.0,0.0,148.0,9200556.999999994,3096437.999999998,25514490.99999998,0.07731459650392095,0.37860469195049185,0.009908599903898588,-499.5769230769231,165.69230769230768,-853.5,-642.4615384615385,320.61538461538464,963.0769230769231,322.940358041653,302.72071023034886,502.856169220461,-70770.65384615384,397043.1538461539,-161202.57692307694,594.8676969907484,345.0996511600225,990.6192895977126,1,8,2,1,1,2,379.0,734.0,-71.0,0.0,0.0,148.0,1,1,1,-990.0,-303.0,-1542.0,0.0,0.0,0.0,0,0,0,26,bricks
92139.402366863898,94550.609467455623,240941.35059171595,1301.0,228.0,757.0,29.0,0.0,619.0,7373061.999999998,2790762.000000001,18277357.000000015,0.09754572333514845,0.5097092037578085,0.09115124741055414,-437.53846153846155,113.07692307692308,-679.7307692307693,-522.6153846153846,266.34615384615387,788.9615384615385,303.5447287746304,307.49082826558526,490.85777022648426,-33118.653846153844,287920.23076923075,-92141.30769230769,532.5216499751983,327.6232592475693,838.4362046278591,3,17,4,1,0,2,379.0,64.0,8.0,0.0,0.0,69.0,2,2,1,-922.0,-417.0,-1437.0,29.0,114.0,0.0,0,0,0,26,bricks
86530.698224852065,51916.082840236682,279935.37869822478,769.0,901.0,1770.0,52.0,0.0,181.0,7088207.9999999935,1445348.0000000026,21557389.99999999,0.03708939093646504,0.5252117506023578,0.12785878822731492,-431.38461538461536,60.61538461538461,-741.0769230769231,-474.1923076923077,297.88461538461536,772.0769230769231,294.1610073154701,227.85101018041743,529.0891972987398,-213.76923076923077,311249.76923076925,-38160.92307692308,522.1334930986372,235.77596928505605,910.5659693923251,3,9,3,2,1,1,-2.0,569.0,331.0,52.0,0.0,0.0,1,1,2,-771.0,-332.0,-1439.0,0.0,0.0,181.0,0,1,0,26,bricks
172254.87130177513,85702.775147929002,595543.59171597636,1496.5,1180.5,2927.0,122.5,89.5,0.0,10025398.999999993,2236340.0000000033,28145854.000000034,0.15478284627230543,0.27121858116250097,0.20341220528612938,-461.88461538461536,-17.615384615384617,-697.8461538461538,-415.7692307692308,228.73076923076923,644.5,415.0359879598095,292.75036319008893,771.7147087596402,3716.8076923076924,410918.3461538461,-24332.846153846152,620.960763036417,293.2798610935925,1040.4483870686936,4,12,5,2,2,1,222.5,460.5,329.0,122.5,89.5,0.0,1,1,1,-1274.0,-720.0,-2598.0,0.0,0.0,0.0,0,0,0,26,bricks
173563.24408284022,75649.869822485198,589418.07692307688,1619.0,960.5,822.0,0.0,130.5,0.0,11859569.000000015,1970176.000000003,27453584.000000007,0.12217533274789033,0.21713735724059383,0.21164846013135175,-531.5769230769231,-11.23076923076923,-683.0,-494.38461538461536,170.80769230769232,665.1923076923077,416.60922227291155,275.045214142121,767.7356816789727,-22941.576923076922,437345.8846153846,-52703.11538461538,675.3793520909336,275.27440854536405,1027.5733924752417,3,14,6,1,1,0,345.0,371.0,-653.5,0.0,0.0,0.0,1,2,2,-1274.0,-589.5,-2187.0,0.0,130.5,411.0,0,0,0,26,bricks
148663.65236686391,72356.72928994082,355067.00147929002,990.3333333333334,824.0,894.0,51.65483735549094,156.62907350382517,669.138625398355,9248814.999999996,1882222.9999999995,17525942.999999993,0.12997599966072365,0.1525242038445017,0.2314928675166489,-455.03846153846155,6.038461538461538,-564.8076923076923,-458.03846153846155,69.0,527.0384615384615,385.5692575489699,268.99206176008397,595.874988130304,-35638.96153846154,322768.53846153844,-88789.53846153847,596.4257320456202,269.0598303494825,821.0205422334028,4,12,6,2,2,3,19.5,385.5,156.33333333333334,26.5,38.5,202.60360861105661,2,2,2,-941.0,-512.0,-1350.0,63.0,182.0,172.0,0,1,0,26,bricks
163902.53254437869,88238.213017751477,613161.94822485198,754.3333333333334,430.0,1467.0,509.5307209144072,420.7144716629874,1009.0,8275568.000000009,2318686.0,23746827.000000004,0.22482024717807556,0.3831680545339934,0.37327924063686035,-392.9230769230769,-30.692307692307693,-547.8846153846154,-345.53846153846155,147.8846153846154,493.4230769230769,404.8487773778978,297.0491760933726,783.046581133493,3392.1153846153848,326680.46153846156,-43040.03846153846,564.1729140282055,298.63059248715757,955.6879720913097,6,10,8,2,1,2,190.5,327.0,725.0,144.5,0.0,229.0,2,3,1,-909.5,-579.3333333333334,-1522.0,31.5,113.34411713401313,0.0,0,1,0,26,bricks
181971.07840236684,133728.79437869822,791825.74556213012,1523.0,0.0,2049.25,38.44476557348217,0.0,942.927190985603,10676613.0,3478660.999999998,31142559.99999999,0.1673195661366055,0.14035422796463157,0.3999715520684875,-478.1923076923077,-8.115384615384615,-637.1538461538462,-492.96153846153845,211.34615384615384,704.3076923076923,426.5806821720445,365.6894780803766,889.8459111341301,-12615.23076923077,345598.8076923077,15579.423076923076,640.8111746360714,365.7795153451787,1094.4362792007441,19,16,20,2,1,2,308.5,698.0,741.5,10.5,0.0,212.5,2,0,3,-1206.5,48.5,-1887.3333333333333,34.5,0.0,228.1407947347914,0,0,1,26,bricks
246083.62869822484,190848.5399408284,802862.02366863913,801.5,1701.0,2003.4,668.5,0.0,1025.585998344361,11603047.000000002,4966586.99999999,30055277.999999985,0.26542683604827016,0.17690577043089553,0.40870960668163553,-447.4230769230769,13.192307692307692,-594.2307692307693,-433.96153846153845,131.80769230769232,565.7692307692307,496.0681694064081,436.86215210387405,896.0256824827283,-39435.88461538462,177679.53846153847,-264781.53846153844,668.0352075014748,437.0612965283896,1075.1614905535032,8,12,7,1,1,2,298.0,698.0,641.0,0.0,0.0,423.0,2,1,4,-1238.5,-1003.0,-1802.5,66.5,0.0,331.49095010271395,1,0,0,26,bricks
