Variance X,Variance Y,Variance Z,Avg Height X,Avg Height Y,Avg Height Z,Stdev Height X,Stdev Height Y,Stdev Height Z,Energy X,Energy Y,Energy Z,Entropy X,Entropy Y,Entropy Z,Average X,Average Y,Average Z,Average XY,Average XZ,Average YZ,Standard Deviation X,Standard Deviation Y,Standard Deviation Z,Correlation XY,Correlation XZ,Correlation YZ,RMS X,RMS Y,RMS Z,Axis Order XY,Axis Order XZ,Axis Order YZ,Num Peaks X,Num Peaks Y,Num Peaks Z,Average Peaks X,Average Peaks Y,Average Peaks Z,Standard Deviation Peaks X,Standard Deviation Peaks Y,Standard Deviation Peaks Z,Num Valleys X,Num Valleys Y,Num Valleys Z,Average Valleys X,Average Valleys Y,Average Valleys Z,Standard Deviation Valleys X,Standard Deviation Valleys Y,Standard Deviation Valleys Z,Zero Crossings X,Zero Crossings Y,Zero Crossings Z,Num Points,RoadType
50543.014399999993,21445.993599999998,68738.838399999993,0.0,0.0,810.6666666666666,0.0,0.0,54.46915538989832,7584776.999999994,712886.0000000007,16233047.000000007,-0.0,0.3947953239724691,-0.0,-502.84,84.08,-761.96,-570.56,235.04,805.6,224.817735955151,146.444506895957,262.1809268425146,-22236.72,365567.76,-81819.48,550.8094770426522,168.8651533028647,805.8051129150274,0,6,1,0,0,2,-542.0,70.0,-302.0,0.0,0.0,65.0,1,1,2,-1060.0,-355.0,-1084.5,0.0,0.0,19.5,0,0,0,25,bricks
38725.173076923078,15756.402366863904,83412.994082840232,719.3333333333334,392.0,0.0,88.78938875538876,0.0,0.0,9588161.000000006,424072.0000000001,14158519.999999998,-0.0,0.487835733073407,0.014485888793756105,-574.5,23.53846153846154,-679.0769230769231,-580.9230769230769,95.03846153846153,675.9615384615385,196.78712629875736,125.5245090285714,288.8130781021528,-19516.076923076922,370037.5,-9494.961538461539,607.2688227440324,127.71241732291163,737.9420448371684,0,9,0,2,1,0,-231.0,162.0,-660.0,87.0,0.0,0.0,2,1,1,-888.0,-230.0,-1399.0,100.0,0.0,0.0,0,0,0,26,bricks
51267.159763313604,21053.948224852073,184434.76479289943,1045.0,0.0,1036.0,0.0,0.0,707.4192533427401,8897275.999999998,710143.0000000005,15995850.999999985,0.009976802566434127,0.42999316289181616,0.04968081738954148,-539.3846153846154,79.11538461538461,-656.3461538461538,-611.6923076923077,105.6923076923077,717.3846153846154,226.42252485853436,145.09978712889992,429.458688109694,-38458.07692307692,331667.76923076925,-42949.192307692305,584.9811305306548,165.26703333602956,784.362823227579,0,10,2,1,1,2,49.0,428.0,108.5,0.0,0.0,18.5,1,0,2,-996.0,75.5,-1427.0,0.0,0.0,28.0,0,0,0,26,bricks
42668.08284023669,21245.828402366864,222037.76331360947,0.0,0.0,1630.0,0.0,0.0,48.0,7567437.999999997,645034.0000000003,19669292.000000004,0.01078830865268315,0.5044510558255912,0.06279943614239222,-498.38461538461536,59.69230769230769,-731.0769230769231,-534.9615384615385,235.0,769.9615384615385,206.56253977969163,145.759488207001,471.20883195628824,-352.7307692307692,358214.57692307694,-47487.5,539.49541952857,157.50872991678906,869.7765407098715,0,19,3,1,1,2,49.0,428.0,175.0,0.0,0.0,48.0,0,0,1,-511.0,59.0,-1455.0,0.0,0.0,0.0,0,0,0,26,bricks
34937.289940828407,10393.005917159762,155920.38461538462,405.3333333333333,438.0,1862.0,262.93260648986757,0.0,0.0,8821844.0,446686.0000000002,17271524.000000007,-0.0,0.2973735156232274,0.033492612225508,-551.6923076923077,82.38461538461539,-713.0,-607.0769230769231,171.15384615384616,778.2307692307693,186.9151945156637,101.9460931922345,394.8675532572721,-42052.769230769234,363346.8461538461,-72888.53846153847,582.496087804624,131.07337933093345,815.0394988068889,0,17,1,1,1,1,-298.0,291.0,223.0,0.0,0.0,0.0,3,1,1,-872.0,-147.0,-1639.0,66.91786009728644,0.0,0.0,0,0,1,26,bricks
42228.936390532544,12849.366863905327,161029.58136094676,851.0,69.0,379.25,0.0,0.0,480.66952004469766,8143961.0,570255.9999999999,17229547.000000015,-0.0,0.33679073130225967,0.005452918387038484,-520.5769230769231,95.3076923076923,-708.2692307692307,-606.1538461538462,158.5,764.6538461538462,205.4968038450539,113.35504780954983,401.2849129495735,-45278.57692307692,340259.8076923077,-68002.73076923077,559.6688924987427,148.0976808627437,814.0484534813543,0,8,1,1,2,3,-112.0,256.5,-48.333333333333336,0.0,34.5,67.37127643802579,1,0,2,-963.0,136.5,-1230.0,0.0,0.0,29.0,0,0,0,26,bricks
30888.794378698221,11258.869822485207,225276.1301775148,0.0,261.0,1670.0,0.0,126.87198272274301,188.0,7151008.999999999,382529.99999999994,18555214.000000004,-0.0,0.4524976340598477,0.07460805757874808,-494.11538461538464,58.76923076923077,-698.8461538461538,-513.2307692307693,212.65384615384616,725.8846153846154,175.75208214612488,106.10782168381937,474.6326265413228,-32909.807692307695,344380.76923076925,-61814.61538461538,524.4414244625492,121.2958874310762,844.7852253224347,0,18,4,1,2,2,-112.0,192.5,223.0,0.0,13.5,188.0,0,3,1,-461.5,-131.0,-1447.0,0.0,47.77028364998475,0.0,0,0,0,26,bricks
34109.597633136094,7995.5576923076924,216553.09615384616,0.0,303.5,1521.5,0.0,14.5,277.5,8116237.999999999,430347.0000000003,19127506.999999978,-0.0,0.11935543443589959,0.06911546322140373,-527.3076923076923,92.5,-720.5,-593.1538461538462,221.73076923076923,814.8846153846154,184.6878383465898,89.4178823966867,465.3526578347288,-46272.53846153846,341756.6153846154,-82165.03846153847,558.7154911043724,128.65382890651833,857.7140235264002,0,17,24,0,1,2,-491.5,254.0,133.5,0.0,0.0,277.5,1,2,1,-1066.0,-49.5,-1388.0,0.0,14.5,0.0,0,1,1,26,bricks
36499.705621301771,7425.6686390532541,167639.61094674555,0.0,339.0,1011.25,0.0,34.0,479.7272011258065,7308756.999999997,484356.0000000007,21954372.99999999,-0.0,0.10768866099270813,0.0012125748544682272,-494.5769230769231,105.84615384615384,-822.6538461538462,-581.5384615384615,309.88461538461536,891.4230769230769,191.04896131960982,86.17231944802957,409.43816498556356,-49809.807692307695,374940.6923076923,-105292.38461538461,530.194340276788,136.488376512716,918.9118355633807,0,8,0,0,1,3,-487.5,291.0,-149.66666666666666,0.0,0.0,116.62570709562945,1,2,2,-1066.0,-48.0,-1470.5,0.0,34.0,38.5,0,1,0,26,bricks
29021.658284023673,8837.7751479289927,175608.17899408285,712.0,306.5,1209.5,0.0,13.5,30.170349683091178,7325757.000000002,508922.00000000047,22472233.000000004,-0.0,0.1424512651210473,0.033298726621604935,-502.7307692307692,103.61538461538461,-829.8846153846154,-585.8461538461538,305.9230769230769,891.7692307692307,170.35744270217157,94.00944180202855,419.0562957337389,-53295.153846153844,401743.57692307694,-108222.46153846153,530.8105920339049,139.90683713429834,929.6863201349979,0,7,1,1,1,2,-184.0,238.0,-272.5,0.0,0.0,4.5,1,2,3,-896.0,-68.5,-1473.0,0.0,13.5,31.63331577098213,0,0,0,26,bricks
