Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long
1.50057582522e+12,user7,motorola-XT1096,-2.36547136307,9.50019264221,-0.296881020069,30.6190421,-96.3394014
1.50057582528e+12,user7,motorola-XT1096,-3.48595762253,8.56166553497,-0.756567716599,30.6190421,-96.3394014
1.50057582534e+12,user7,motorola-XT1096,-2.93050289154,9.13627338409,-0.584185242653,30.6190421,-96.3394014
1.5005758254e+12,user7,motorola-XT1096,-3.30399823189,9.4427318573,0.0766144543886,30.6190421,-96.3394014
1.50057582546e+12,user7,motorola-XT1096,-2.43250894547,9.47146224976,-1.5801731348,30.6190421,-96.3394014
1.50057582552e+12,user7,motorola-XT1096,-1.77170920372,9.29907894135,-1.86747729778,30.6190421,-96.3394014
1.50057582561e+12,user7,motorola-XT1096,-3.66791701317,9.23204135895,-5.65989303589,30.6190421,-96.3394014
1.50057582564e+12,user7,motorola-XT1096,-0.354341864586,12.5264635086,-4.70221233368,30.6190421,-96.3394014
1.50057582569e+12,user7,motorola-XT1096,2.71981310844,15.887922287,-1.38863694668,30.6190421,-96.3394014
1.50057582579e+12,user7,motorola-XT1096,1.13963997364,11.3102092743,-3.80199241638,30.6190421,-96.3394014
1.50057582581e+12,user7,motorola-XT1096,0.0861912593246,9.85453414917,-3.19865345955,30.6190421,-96.3394014
1.50057582587e+12,user7,motorola-XT1096,-0.114921681583,7.2975268364,-4.66390514374,30.6190421,-96.3394014
1.50057582593e+12,user7,motorola-XT1096,-0.612915635109,7.24006605148,-4.94163227081,30.6190421,-96.3394014
1.50057582599e+12,user7,motorola-XT1096,0.63206923008,8.15943908691,-6.44519090652,30.6190421,-96.3394014
1.50057582605e+12,user7,motorola-XT1096,0.344765037298,8.66701030731,-5.06613063812,30.6190421,-96.3394014
1.50057582611e+12,user7,motorola-XT1096,0.641646027565,9.33738708496,-3.61045622826,30.6190421,-96.3394014
1.50057582619e+12,user7,motorola-XT1096,0.593762040138,9.47146224976,-3.32315206528,30.6190421,-96.3394014
1.50057582622e+12,user7,motorola-XT1096,1.06302559376,9.93114852905,-2.85388851166,30.6190421,-96.3394014
1.50057582629e+12,user7,motorola-XT1096,0.928950250149,9.95987892151,-2.07816696167,30.6190421,-96.3394014
1.50057582635e+12,user7,motorola-XT1096,0.833182215691,10.4674501419,-1.81001651287,30.6190421,-96.3394014
1.5005758264e+12,user7,motorola-XT1096,0.612915635109,9.95987892151,-1.20667767525,30.6190421,-96.3394014
1.50057582646e+12,user7,motorola-XT1096,0.593762040138,10.6206789017,-1.17794728279,30.6190421,-96.3394014
1.50057582652e+12,user7,motorola-XT1096,-1.20667767525,9.46188545227,-0.134075298905,30.6190421,-96.3394014
1.50057582659e+12,user7,motorola-XT1096,-0.430956304073,10.1801452637,-0.153228908777,30.6190421,-96.3394014
1.50057582664e+12,user7,motorola-XT1096,-0.861912608147,10.6206789017,0.517147541046,30.6190421,-96.3394014
1.5005758267e+12,user7,motorola-XT1096,-1.42694425583,10.3525285721,2.16435837746,30.6190421,-96.3394014
1.50057582676e+12,user7,motorola-XT1096,-1.1013327837,9.94072532654,1.19710087776,30.6190421,-96.3394014
1.50057582684e+12,user7,motorola-XT1096,-1.16837048531,10.1801452637,3.17949986458,30.6190421,-96.3394014
1.50057582688e+12,user7,motorola-XT1096,-0.402225881815,10.0173397064,3.46680402756,30.6190421,-96.3394014
1.50057582699e+12,user7,motorola-XT1096,0.641646027565,9.53849983215,5.50666379929,30.6190421,-96.3394014
1.50057582702e+12,user7,motorola-XT1096,-0.928950250149,7.54652357101,5.62158536911,30.6190421,-96.3394014
1.50057582705e+12,user7,motorola-XT1096,-0.0191536135972,6.52180528641,6.65588092804,30.6190421,-96.3394014
1.50057582711e+12,user7,motorola-XT1096,0.814028561115,3.83072280884,7.49863958359,30.6190421,-96.3394014
1.50057582719e+12,user7,motorola-XT1096,1.72382521629,4.10844993591,6.92403125763,30.6190421,-96.3394014
1.50057582723e+12,user7,motorola-XT1096,4.17548799515,2.33674097061,6.8761472702,30.6190421,-96.3394014
1.50057582729e+12,user7,motorola-XT1096,4.79798030853,0.823605358601,6.27280855179,30.6190421,-96.3394014
1.50057582735e+12,user7,motorola-XT1096,8.2360534668,-0.354341864586,7.78594398499,30.6190421,-96.3394014
1.50057582743e+12,user7,motorola-XT1096,12.0284690857,4.93205547333,2.5378537178,30.6190421,-96.3394014
1.50057582747e+12,user7,motorola-XT1096,9.02135181427,0.0383072271943,6.15788698196,30.6190421,-96.3394014
1.50057582753e+12,user7,motorola-XT1096,9.45230865479,0.603338837624,15.3611984253,30.6190421,-96.3394014
1.50057582759e+12,user7,motorola-XT1096,7.31668043137,1.38863694668,11.7028579712,30.6190421,-96.3394014
1.50057582765e+12,user7,motorola-XT1096,6.49307489395,2.87304210663,7.88171195984,30.6190421,-96.3394014
