Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long
1.50056846863e+12,user1,PebbleTimeSteel,-335.0,-65.0,-854.0,30.6195363,-96.3389028
1.50056846867e+12,user1,PebbleTimeSteel,-335.0,-68.0,-849.0,30.6195363,-96.3389028
1.50056846871e+12,user1,PebbleTimeSteel,-333.0,-72.0,-854.0,30.6195363,-96.3389028
1.50056846875e+12,user1,PebbleTimeSteel,-333.0,-63.0,-855.0,30.6195363,-96.3389028
1.50056846879e+12,user1,PebbleTimeSteel,-335.0,-67.0,-850.0,30.6195363,-96.3389028
1.50056846943e+12,user1,PebbleTimeSteel,-331.0,-67.0,-848.0,30.6195363,-96.3389028
1.50056846947e+12,user1,PebbleTimeSteel,-334.0,-73.0,-851.0,30.6195363,-96.3389028
1.50056846951e+12,user1,PebbleTimeSteel,-334.0,-61.0,-850.0,30.6195363,-96.3389028
1.50056846955e+12,user1,PebbleTimeSteel,-332.0,-63.0,-849.0,30.6195363,-96.3389028
1.50056846959e+12,user1,PebbleTimeSteel,-333.0,-68.0,-848.0,30.6195363,-96.3389028
1.50056846963e+12,user1,PebbleTimeSteel,-331.0,-66.0,-854.0,30.6195363,-96.3389028
1.50056846967e+12,user1,PebbleTimeSteel,-334.0,-72.0,-854.0,30.6195363,-96.3389028
1.50056846971e+12,user1,PebbleTimeSteel,-336.0,-70.0,-853.0,30.6195363,-96.3389028
1.50056846975e+12,user1,PebbleTimeSteel,-335.0,-71.0,-854.0,30.6195363,-96.3389028
1.50056846979e+12,user1,PebbleTimeSteel,-333.0,-68.0,-853.0,30.6195363,-96.3389028
1.50056846984e+12,user1,PebbleTimeSteel,-336.0,-70.0,-853.0,30.6195363,-96.3389028
1.50056846988e+12,user1,PebbleTimeSteel,-330.0,-65.0,-852.0,30.6195363,-96.3389028
1.50056846992e+12,user1,PebbleTimeSteel,-337.0,-74.0,-846.0,30.6195363,-96.3389028
1.50056846996e+12,user1,PebbleTimeSteel,-332.0,-64.0,-857.0,30.6195363,-96.3389028
1.50056847e+12,user1,PebbleTimeSteel,-332.0,-69.0,-846.0,30.6195363,-96.3389028
