Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long
1.50057612129e+12,user9,PebbleTimeSteel,-554.0,77.0,-738.0,30.6189253,-96.3394807
1.50057612133e+12,user9,PebbleTimeSteel,-555.0,76.0,-731.0,30.6189253,-96.3394807
1.50057612137e+12,user9,PebbleTimeSteel,-553.0,80.0,-736.0,30.6189253,-96.3394807
1.50057612141e+12,user9,PebbleTimeSteel,-546.0,85.0,-743.0,30.6189253,-96.3394807
1.50057612145e+12,user9,PebbleTimeSteel,-554.0,78.0,-741.0,30.6189253,-96.3394807
1.50057612209e+12,user9,PebbleTimeSteel,-550.0,56.0,-741.0,30.6189253,-96.3394807
1.50057612213e+12,user9,PebbleTimeSteel,-534.0,53.0,-753.0,30.6189253,-96.3394807
1.50057612217e+12,user9,PebbleTimeSteel,-547.0,30.0,-751.0,30.6189253,-96.3394807
1.50057612221e+12,user9,PebbleTimeSteel,-554.0,35.0,-737.0,30.6189253,-96.3394807
1.50057612225e+12,user9,PebbleTimeSteel,-553.0,51.0,-737.0,30.6189253,-96.3394807
1.50057612229e+12,user9,PebbleTimeSteel,-550.0,50.0,-734.0,30.6189253,-96.3394807
1.50057612233e+12,user9,PebbleTimeSteel,-552.0,70.0,-740.0,30.6189253,-96.3394807
1.50057612237e+12,user9,PebbleTimeSteel,-552.0,77.0,-736.0,30.6189253,-96.3394807
1.50057612241e+12,user9,PebbleTimeSteel,-554.0,91.0,-733.0,30.6189253,-96.3394807
1.50057612245e+12,user9,PebbleTimeSteel,-562.0,95.0,-729.0,30.6189253,-96.3394807
1.5005761225e+12,user9,PebbleTimeSteel,-561.0,100.0,-721.0,30.6189253,-96.3394807
1.50057612254e+12,user9,PebbleTimeSteel,-583.0,75.0,-716.0,30.6189253,-96.3394807
1.50057612258e+12,user9,PebbleTimeSteel,-499.0,74.0,-848.0,30.6189253,-96.3394807
1.50057612262e+12,user9,PebbleTimeSteel,-544.0,76.0,-711.0,30.6189253,-96.3394807
1.50057612266e+12,user9,PebbleTimeSteel,-562.0,72.0,-673.0,30.6189253,-96.3394807
1.50057612269e+12,user9,PebbleTimeSteel,-552.0,101.0,-728.0,30.6189983,-96.3393806
1.50057612273e+12,user9,PebbleTimeSteel,-543.0,92.0,-748.0,30.6189983,-96.3393806
