Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long
1.5005691818e+12,user4,PebbleTimeSteel,-341.0,-35.0,-847.0,30.6190147,-96.3395053
1.50056918184e+12,user4,PebbleTimeSteel,-340.0,-35.0,-845.0,30.6190147,-96.3395053
1.50056918188e+12,user4,PebbleTimeSteel,-342.0,-35.0,-844.0,30.6190147,-96.3395053
1.50056918192e+12,user4,PebbleTimeSteel,-346.0,-36.0,-853.0,30.6190147,-96.3395053
1.50056918196e+12,user4,PebbleTimeSteel,-345.0,-39.0,-853.0,30.6190147,-96.3395053
1.5005691826e+12,user4,PebbleTimeSteel,-344.0,-38.0,-849.0,30.6190147,-96.3395053
1.50056918264e+12,user4,PebbleTimeSteel,-344.0,-37.0,-851.0,30.6190147,-96.3395053
1.50056918268e+12,user4,PebbleTimeSteel,-345.0,-31.0,-847.0,30.6190147,-96.3395053
1.50056918272e+12,user4,PebbleTimeSteel,-342.0,-35.0,-851.0,30.6190147,-96.3395053
1.50056918276e+12,user4,PebbleTimeSteel,-349.0,-32.0,-851.0,30.6190147,-96.3395053
1.50056918281e+12,user4,PebbleTimeSteel,-347.0,-38.0,-850.0,30.6190147,-96.3395053
1.50056918285e+12,user4,PebbleTimeSteel,-345.0,-36.0,-846.0,30.6190147,-96.3395053
1.50056918289e+12,user4,PebbleTimeSteel,-341.0,-35.0,-850.0,30.6190147,-96.3395053
1.50056918293e+12,user4,PebbleTimeSteel,-343.0,-35.0,-851.0,30.6190147,-96.3395053
1.50056918297e+12,user4,PebbleTimeSteel,-343.0,-35.0,-847.0,30.6190147,-96.3395053
1.50056918301e+12,user4,PebbleTimeSteel,-341.0,-33.0,-843.0,30.6189342,-96.3393183
1.50056918305e+12,user4,PebbleTimeSteel,-344.0,-31.0,-847.0,30.6189342,-96.3393183
1.50056918309e+12,user4,PebbleTimeSteel,-343.0,-36.0,-852.0,30.6189342,-96.3393183
1.50056918313e+12,user4,PebbleTimeSteel,-340.0,-44.0,-850.0,30.6189342,-96.3393183
1.50056918317e+12,user4,PebbleTimeSteel,-342.0,-37.0,-856.0,30.6189342,-96.3393183
1.50056918321e+12,user4,PebbleTimeSteel,-344.0,-35.0,-846.0,30.6189342,-96.3393183
1.50056918325e+12,user4,PebbleTimeSteel,-344.0,-39.0,-851.0,30.6189342,-96.3393183
1.50056918329e+12,user4,PebbleTimeSteel,-344.0,-37.0,-849.0,30.6189342,-96.3393183
1.50056918333e+12,user4,PebbleTimeSteel,-344.0,-34.0,-851.0,30.6189342,-96.3393183
1.50056918337e+12,user4,PebbleTimeSteel,-344.0,-35.0,-849.0,30.6189342,-96.3393183
1.50056918341e+12,user4,PebbleTimeSteel,-347.0,-37.0,-851.0,30.6189342,-96.3393183
1.50056918345e+12,user4,PebbleTimeSteel,-339.0,-35.0,-848.0,30.6189342,-96.3393183
1.50056918349e+12,user4,PebbleTimeSteel,-343.0,-40.0,-851.0,30.6189342,-96.3393183
1.50056918353e+12,user4,PebbleTimeSteel,-344.0,-37.0,-848.0,30.6189342,-96.3393183
1.50056918357e+12,user4,PebbleTimeSteel,-341.0,-35.0,-850.0,30.6189342,-96.3393183
1.50056918361e+12,user4,PebbleTimeSteel,-344.0,-37.0,-850.0,30.6189342,-96.3393183
1.50056918365e+12,user4,PebbleTimeSteel,-343.0,-38.0,-852.0,30.6189342,-96.3393183
1.50056918369e+12,user4,PebbleTimeSteel,-346.0,-37.0,-855.0,30.6189342,-96.3393183
