Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long
1.50057596963e+12,user8,PebbleTimeSteel,-547.0,9.0,-727.0,30.6189357,-96.3395007
1.50057596967e+12,user8,PebbleTimeSteel,-538.0,50.0,-789.0,30.6189357,-96.3395007
1.50057596971e+12,user8,PebbleTimeSteel,-561.0,36.0,-738.0,30.6189357,-96.3395007
1.50057596975e+12,user8,PebbleTimeSteel,-558.0,23.0,-723.0,30.6189357,-96.3395007
1.50057596979e+12,user8,PebbleTimeSteel,-546.0,84.0,-743.0,30.6189357,-96.3395007
1.50057597023e+12,user8,PebbleTimeSteel,-520.0,108.0,-643.0,30.6189357,-96.3395007
1.50057597027e+12,user8,PebbleTimeSteel,-562.0,55.0,-790.0,30.6189357,-96.3395007
1.50057597031e+12,user8,PebbleTimeSteel,-568.0,73.0,-692.0,30.6189357,-96.3395007
1.50057597035e+12,user8,PebbleTimeSteel,-616.0,63.0,-682.0,30.6189357,-96.3395007
1.50057597039e+12,user8,PebbleTimeSteel,-603.0,35.0,-678.0,30.6189357,-96.3395007
1.50057597043e+12,user8,PebbleTimeSteel,-592.0,54.0,-723.0,30.6189933,-96.3394845
1.50057597047e+12,user8,PebbleTimeSteel,-457.0,42.0,-750.0,30.6189933,-96.3394845
1.50057597051e+12,user8,PebbleTimeSteel,-469.0,36.0,-865.0,30.6189933,-96.3394845
1.50057597055e+12,user8,PebbleTimeSteel,-533.0,45.0,-631.0,30.6189933,-96.3394845
1.50057597059e+12,user8,PebbleTimeSteel,-639.0,3.0,-688.0,30.6189933,-96.3394845
1.50057597063e+12,user8,PebbleTimeSteel,-512.0,23.0,-772.0,30.6189933,-96.3394845
1.50057597067e+12,user8,PebbleTimeSteel,-501.0,68.0,-765.0,30.6189933,-96.3394845
1.50057597071e+12,user8,PebbleTimeSteel,-557.0,80.0,-742.0,30.6189933,-96.3394845
1.50057597075e+12,user8,PebbleTimeSteel,-544.0,34.0,-716.0,30.6189933,-96.3394845
1.50057597079e+12,user8,PebbleTimeSteel,-564.0,71.0,-767.0,30.6189933,-96.3394845
1.50057597083e+12,user8,PebbleTimeSteel,-545.0,84.0,-710.0,30.6189933,-96.3394845
1.50057597087e+12,user8,PebbleTimeSteel,-563.0,53.0,-759.0,30.6189933,-96.3394845
1.50057597091e+12,user8,PebbleTimeSteel,-540.0,76.0,-725.0,30.6189933,-96.3394845
1.50057597095e+12,user8,PebbleTimeSteel,-567.0,71.0,-747.0,30.6189933,-96.3394845
1.50057597099e+12,user8,PebbleTimeSteel,-548.0,30.0,-744.0,30.6189933,-96.3394845
1.50057597104e+12,user8,PebbleTimeSteel,-564.0,41.0,-741.0,30.6189933,-96.3394845
1.50057597108e+12,user8,PebbleTimeSteel,-551.0,41.0,-750.0,30.6189933,-96.3394845
1.50057597112e+12,user8,PebbleTimeSteel,-553.0,10.0,-767.0,30.6189933,-96.3394845
1.50057597116e+12,user8,PebbleTimeSteel,-558.0,13.0,-741.0,30.6189933,-96.3394845
1.5005759712e+12,user8,PebbleTimeSteel,-546.0,64.0,-756.0,30.6189933,-96.3394845
1.50057597124e+12,user8,PebbleTimeSteel,-579.0,37.0,-696.0,30.6189933,-96.3394845
1.50057597128e+12,user8,PebbleTimeSteel,-551.0,35.0,-725.0,30.6189933,-96.3394845
1.50057597132e+12,user8,PebbleTimeSteel,-486.0,147.0,-1000.0,30.6189933,-96.3394845
1.50057597136e+12,user8,PebbleTimeSteel,-558.0,85.0,-667.0,30.6189933,-96.3394845
1.5005759714e+12,user8,PebbleTimeSteel,-539.0,86.0,-816.0,30.6189933,-96.3394845
1.50057597143e+12,user8,PebbleTimeSteel,-571.0,63.0,-666.0,30.6189933,-96.3394845
1.50057597147e+12,user8,PebbleTimeSteel,-560.0,42.0,-742.0,30.6189933,-96.3394845
1.50057597151e+12,user8,PebbleTimeSteel,-545.0,51.0,-723.0,30.6189933,-96.3394845
1.50057597155e+12,user8,PebbleTimeSteel,-560.0,36.0,-728.0,30.6189933,-96.3394845
1.50057597159e+12,user8,PebbleTimeSteel,-567.0,35.0,-717.0,30.6189933,-96.3394845
1.50057597164e+12,user8,PebbleTimeSteel,-561.0,39.0,-741.0,30.6189933,-96.3394845
1.50057597168e+12,user8,PebbleTimeSteel,-544.0,44.0,-767.0,30.6189933,-96.3394845
1.50057597172e+12,user8,PebbleTimeSteel,-544.0,50.0,-748.0,30.6189933,-96.3394845
1.50057597176e+12,user8,PebbleTimeSteel,-559.0,53.0,-739.0,30.6189933,-96.3394845
1.5005759718e+12,user8,PebbleTimeSteel,-563.0,55.0,-736.0,30.6189933,-96.3394845
1.50057597184e+12,user8,PebbleTimeSteel,-546.0,58.0,-737.0,30.6189933,-96.3394845
1.50057597188e+12,user8,PebbleTimeSteel,-542.0,55.0,-751.0,30.6189933,-96.3394845
1.50057597192e+12,user8,PebbleTimeSteel,-551.0,61.0,-742.0,30.6189933,-96.3394845
1.50057597196e+12,user8,PebbleTimeSteel,-563.0,52.0,-733.0,30.6189933,-96.3394845
1.500575972e+12,user8,PebbleTimeSteel,-561.0,54.0,-737.0,30.6189933,-96.3394845
1.50057597204e+12,user8,PebbleTimeSteel,-547.0,51.0,-740.0,30.6189933,-96.3394845
1.50057597208e+12,user8,PebbleTimeSteel,-545.0,47.0,-743.0,30.6189933,-96.3394845
1.50057597212e+12,user8,PebbleTimeSteel,-558.0,53.0,-733.0,30.6189933,-96.3394845
1.50057597216e+12,user8,PebbleTimeSteel,-561.0,54.0,-735.0,30.6189933,-96.3394845
1.5005759722e+12,user8,PebbleTimeSteel,-557.0,58.0,-736.0,30.6189933,-96.3394845
1.50057597224e+12,user8,PebbleTimeSteel,-547.0,56.0,-740.0,30.6189933,-96.3394845
1.50057597228e+12,user8,PebbleTimeSteel,-545.0,43.0,-748.0,30.6189933,-96.3394845
1.50057597232e+12,user8,PebbleTimeSteel,-553.0,38.0,-742.0,30.6189933,-96.3394845
