Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long
1.50057582136e+12,user7,PebbleTimeSteel,-564.0,150.0,-610.0,30.6191063,-96.3393483
1.5005758214e+12,user7,PebbleTimeSteel,-564.0,140.0,-679.0,30.6191063,-96.3393483
1.50057582144e+12,user7,PebbleTimeSteel,-534.0,152.0,-763.0,30.6191063,-96.3393483
1.50057582148e+12,user7,PebbleTimeSteel,-552.0,153.0,-733.0,30.6191063,-96.3393483
1.50057582152e+12,user7,PebbleTimeSteel,-553.0,137.0,-739.0,30.6191063,-96.3393483
1.50057582216e+12,user7,PebbleTimeSteel,-528.0,143.0,-745.0,30.6191063,-96.3393483
1.5005758222e+12,user7,PebbleTimeSteel,-539.0,117.0,-739.0,30.6191063,-96.3393483
1.50057582224e+12,user7,PebbleTimeSteel,-547.0,146.0,-738.0,30.6191063,-96.3393483
1.50057582228e+12,user7,PebbleTimeSteel,-546.0,145.0,-731.0,30.6191063,-96.3393483
1.50057582232e+12,user7,PebbleTimeSteel,-539.0,146.0,-725.0,30.6191063,-96.3393483
1.50057582236e+12,user7,PebbleTimeSteel,-536.0,145.0,-735.0,30.6191063,-96.3393483
1.5005758224e+12,user7,PebbleTimeSteel,-540.0,148.0,-726.0,30.6191063,-96.3393483
1.50057582244e+12,user7,PebbleTimeSteel,-552.0,153.0,-732.0,30.6191063,-96.3393483
1.50057582248e+12,user7,PebbleTimeSteel,-561.0,146.0,-725.0,30.6191063,-96.3393483
1.50057582252e+12,user7,PebbleTimeSteel,-566.0,165.0,-717.0,30.6191063,-96.3393483
1.50057582256e+12,user7,PebbleTimeSteel,-563.0,173.0,-726.0,30.6191063,-96.3393483
1.5005758226e+12,user7,PebbleTimeSteel,-558.0,178.0,-712.0,30.6191063,-96.3393483
1.50057582264e+12,user7,PebbleTimeSteel,-549.0,183.0,-718.0,30.6191063,-96.3393483
1.50057582268e+12,user7,PebbleTimeSteel,-542.0,167.0,-733.0,30.6191063,-96.3393483
1.50057582272e+12,user7,PebbleTimeSteel,-546.0,167.0,-741.0,30.6191063,-96.3393483
1.50057582276e+12,user7,PebbleTimeSteel,-549.0,150.0,-728.0,30.6190421,-96.3394014
1.5005758228e+12,user7,PebbleTimeSteel,-542.0,156.0,-723.0,30.6190421,-96.3394014
1.50057582284e+12,user7,PebbleTimeSteel,-546.0,152.0,-722.0,30.6190421,-96.3394014
1.50057582288e+12,user7,PebbleTimeSteel,-542.0,140.0,-737.0,30.6190421,-96.3394014
1.50057582292e+12,user7,PebbleTimeSteel,-545.0,152.0,-733.0,30.6190421,-96.3394014
1.50057582296e+12,user7,PebbleTimeSteel,-550.0,153.0,-726.0,30.6190421,-96.3394014
1.500575823e+12,user7,PebbleTimeSteel,-548.0,147.0,-728.0,30.6190421,-96.3394014
1.50057582304e+12,user7,PebbleTimeSteel,-539.0,143.0,-734.0,30.6190421,-96.3394014
1.50057582308e+12,user7,PebbleTimeSteel,-539.0,130.0,-741.0,30.6190421,-96.3394014
1.50057582312e+12,user7,PebbleTimeSteel,-527.0,119.0,-733.0,30.6190421,-96.3394014
1.50057582316e+12,user7,PebbleTimeSteel,-531.0,93.0,-750.0,30.6190421,-96.3394014
1.50057582320e+12,user7,PebbleTimeSteel,-515.0,134.0,-768.0,30.6190421,-96.3394014
1.50057582324e+12,user7,PebbleTimeSteel,-518.0,127.0,-767.0,30.6190421,-96.3394014
1.50057582328e+12,user7,PebbleTimeSteel,-527.0,155.0,-740.0,30.6190421,-96.3394014
1.50057582332e+12,user7,PebbleTimeSteel,-535.0,157.0,-729.0,30.6190421,-96.3394014
1.50057582336e+12,user7,PebbleTimeSteel,-550.0,151.0,-729.0,30.6190421,-96.3394014
1.5005758234e+12,user7,PebbleTimeSteel,-552.0,148.0,-719.0,30.6190421,-96.3394014
1.50057582344e+12,user7,PebbleTimeSteel,-563.0,133.0,-713.0,30.6190421,-96.3394014
1.50057582348e+12,user7,PebbleTimeSteel,-559.0,138.0,-732.0,30.6190421,-96.3394014
1.50057582352e+12,user7,PebbleTimeSteel,-551.0,138.0,-734.0,30.6190421,-96.3394014
1.50057582356e+12,user7,PebbleTimeSteel,-551.0,134.0,-726.0,30.6190421,-96.3394014
1.5005758236e+12,user7,PebbleTimeSteel,-544.0,137.0,-758.0,30.6190421,-96.3394014
1.50057582364e+12,user7,PebbleTimeSteel,-551.0,148.0,-723.0,30.6190421,-96.3394014
1.50057582368e+12,user7,PebbleTimeSteel,-554.0,139.0,-729.0,30.6190421,-96.3394014
1.50057582372e+12,user7,PebbleTimeSteel,-544.0,151.0,-735.0,30.6190421,-96.3394014
1.50057582377e+12,user7,PebbleTimeSteel,-547.0,140.0,-728.0,30.6190421,-96.3394014
1.50057582381e+12,user7,PebbleTimeSteel,-549.0,135.0,-731.0,30.6190421,-96.3394014
1.50057582385e+12,user7,PebbleTimeSteel,-554.0,148.0,-726.0,30.6190421,-96.3394014
1.50057582389e+12,user7,PebbleTimeSteel,-554.0,146.0,-737.0,30.6190421,-96.3394014
1.50057582393e+12,user7,PebbleTimeSteel,-551.0,156.0,-732.0,30.6190421,-96.3394014
1.50057582396e+12,user7,PebbleTimeSteel,-541.0,150.0,-739.0,30.6190421,-96.3394014
1.50057582400e+12,user7,PebbleTimeSteel,-533.0,162.0,-740.0,30.6190421,-96.3394014
1.50057582404e+12,user7,PebbleTimeSteel,-538.0,156.0,-736.0,30.6190421,-96.3394014
1.50057582408e+12,user7,PebbleTimeSteel,-543.0,155.0,-737.0,30.6190421,-96.3394014
1.50057582412e+12,user7,PebbleTimeSteel,-550.0,155.0,-723.0,30.6190421,-96.3394014
1.50057582416e+12,user7,PebbleTimeSteel,-547.0,144.0,-724.0,30.6190421,-96.3394014
1.50057582420e+12,user7,PebbleTimeSteel,-545.0,151.0,-736.0,30.6190421,-96.3394014
1.50057582424e+12,user7,PebbleTimeSteel,-539.0,136.0,-736.0,30.6190421,-96.3394014
1.50057582428e+12,user7,PebbleTimeSteel,-537.0,144.0,-738.0,30.6190421,-96.3394014
1.50057582432e+12,user7,PebbleTimeSteel,-543.0,146.0,-729.0,30.6190421,-96.3394014
1.50057582437e+12,user7,PebbleTimeSteel,-549.0,146.0,-737.0,30.6190421,-96.3394014
1.50057582441e+12,user7,PebbleTimeSteel,-546.0,144.0,-742.0,30.6190421,-96.3394014
1.50057582445e+12,user7,PebbleTimeSteel,-547.0,142.0,-738.0,30.6190421,-96.3394014
1.50057582449e+12,user7,PebbleTimeSteel,-547.0,139.0,-730.0,30.6190421,-96.3394014
1.50057582453e+12,user7,PebbleTimeSteel,-550.0,143.0,-732.0,30.6190421,-96.3394014
1.50057582457e+12,user7,PebbleTimeSteel,-546.0,143.0,-736.0,30.6190421,-96.3394014
1.50057582461e+12,user7,PebbleTimeSteel,-534.0,140.0,-739.0,30.6190421,-96.3394014
1.50057582465e+12,user7,PebbleTimeSteel,-541.0,137.0,-736.0,30.6190421,-96.3394014
1.50057582469e+12,user7,PebbleTimeSteel,-543.0,135.0,-734.0,30.6190421,-96.3394014
1.50057582473e+12,user7,PebbleTimeSteel,-546.0,136.0,-737.0,30.6190421,-96.3394014
1.50057582477e+12,user7,PebbleTimeSteel,-547.0,132.0,-724.0,30.6190421,-96.3394014
1.50057582481e+12,user7,PebbleTimeSteel,-560.0,153.0,-728.0,30.6190421,-96.3394014
1.50057582485e+12,user7,PebbleTimeSteel,-562.0,147.0,-726.0,30.6190421,-96.3394014
1.50057582489e+12,user7,PebbleTimeSteel,-554.0,152.0,-723.0,30.6190421,-96.3394014
1.50057582493e+12,user7,PebbleTimeSteel,-550.0,153.0,-731.0,30.6190421,-96.3394014
1.50057582497e+12,user7,PebbleTimeSteel,-540.0,152.0,-737.0,30.6190421,-96.3394014
1.50057582501e+12,user7,PebbleTimeSteel,-542.0,158.0,-728.0,30.6190421,-96.3394014
1.50057582505e+12,user7,PebbleTimeSteel,-548.0,142.0,-730.0,30.6190421,-96.3394014
1.50057582509e+12,user7,PebbleTimeSteel,-545.0,158.0,-726.0,30.6190421,-96.3394014
1.50057582513e+12,user7,PebbleTimeSteel,-549.0,139.0,-735.0,30.6190421,-96.3394014
1.50057582517e+12,user7,PebbleTimeSteel,-541.0,135.0,-741.0,30.6190421,-96.3394014
1.50057582521e+12,user7,PebbleTimeSteel,-538.0,140.0,-735.0,30.6190421,-96.3394014
1.50057582525e+12,user7,PebbleTimeSteel,-537.0,127.0,-742.0,30.6190421,-96.3394014
1.50057582529e+12,user7,PebbleTimeSteel,-542.0,130.0,-748.0,30.6190421,-96.3394014
1.50057582533e+12,user7,PebbleTimeSteel,-541.0,124.0,-735.0,30.6190421,-96.3394014
1.50057582537e+12,user7,PebbleTimeSteel,-540.0,118.0,-739.0,30.6190421,-96.3394014
1.50057582541e+12,user7,PebbleTimeSteel,-539.0,128.0,-739.0,30.6190421,-96.3394014
1.50057582545e+12,user7,PebbleTimeSteel,-540.0,120.0,-739.0,30.6190421,-96.3394014
1.50057582549e+12,user7,PebbleTimeSteel,-546.0,124.0,-739.0,30.6190421,-96.3394014
1.50057582553e+12,user7,PebbleTimeSteel,-545.0,128.0,-737.0,30.6190421,-96.3394014
