Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long
1.50057567515e+12,user6,PebbleTimeSteel,-533.0,-80.0,-761.0,30.6190932,-96.3392631
1.50057567519e+12,user6,PebbleTimeSteel,-531.0,-77.0,-746.0,30.6190932,-96.3392631
1.50057567523e+12,user6,PebbleTimeSteel,-520.0,-90.0,-766.0,30.6190932,-96.3392631
1.50057567527e+12,user6,PebbleTimeSteel,-533.0,-70.0,-764.0,30.6190932,-96.3392631
1.50057567531e+12,user6,PebbleTimeSteel,-514.0,-18.0,-756.0,30.6190932,-96.3392631
1.50057567535e+12,user6,PebbleTimeSteel,-534.0,0.0,-752.0,30.6190932,-96.3392631
1.50057567539e+12,user6,PebbleTimeSteel,-536.0,-24.0,-750.0,30.6190932,-96.3392631
1.50057567543e+12,user6,PebbleTimeSteel,-514.0,-54.0,-779.0,30.6190932,-96.3392631
1.50057567547e+12,user6,PebbleTimeSteel,-529.0,-112.0,-736.0,30.6190932,-96.3392631
1.50057567551e+12,user6,PebbleTimeSteel,-516.0,-171.0,-757.0,30.6190932,-96.3392631
1.50057567555e+12,user6,PebbleTimeSteel,-523.0,-213.0,-763.0,30.6190932,-96.3392631
1.50057567559e+12,user6,PebbleTimeSteel,-530.0,-246.0,-752.0,30.6190932,-96.3392631
1.50057567563e+12,user6,PebbleTimeSteel,-531.0,-229.0,-757.0,30.6190932,-96.3392631
1.50057567567e+12,user6,PebbleTimeSteel,-505.0,-197.0,-738.0,30.6190932,-96.3392631
1.50057567571e+12,user6,PebbleTimeSteel,-522.0,-191.0,-764.0,30.6190932,-96.3392631
1.50057567575e+12,user6,PebbleTimeSteel,-531.0,-168.0,-720.0,30.6193044,-96.339069
1.50057567579e+12,user6,PebbleTimeSteel,-534.0,-122.0,-748.0,30.6193044,-96.339069
1.50057567583e+12,user6,PebbleTimeSteel,-514.0,-73.0,-747.0,30.6193044,-96.339069
1.50057567587e+12,user6,PebbleTimeSteel,-506.0,-2.0,-773.0,30.6193044,-96.339069
1.50057567591e+12,user6,PebbleTimeSteel,-523.0,-32.0,-736.0,30.6193044,-96.339069
1.50057567595e+12,user6,PebbleTimeSteel,-510.0,-44.0,-754.0,30.6193044,-96.339069
1.50057567599e+12,user6,PebbleTimeSteel,-503.0,-21.0,-768.0,30.6193044,-96.339069
1.50057567603e+12,user6,PebbleTimeSteel,-519.0,-61.0,-761.0,30.6193044,-96.339069
1.50057567607e+12,user6,PebbleTimeSteel,-516.0,-181.0,-778.0,30.6193044,-96.339069
1.50057567611e+12,user6,PebbleTimeSteel,-524.0,-147.0,-769.0,30.6193044,-96.339069
1.50057567615e+12,user6,PebbleTimeSteel,-544.0,-172.0,-736.0,30.6193044,-96.339069
1.50057567619e+12,user6,PebbleTimeSteel,-545.0,-208.0,-753.0,30.6193044,-96.339069
1.50057567623e+12,user6,PebbleTimeSteel,-567.0,-133.0,-732.0,30.6193044,-96.339069
1.50057567627e+12,user6,PebbleTimeSteel,-566.0,-81.0,-716.0,30.6193044,-96.339069
1.50057567631e+12,user6,PebbleTimeSteel,-574.0,-62.0,-725.0,30.6193044,-96.339069
1.50057567635e+12,user6,PebbleTimeSteel,-565.0,-53.0,-713.0,30.6193044,-96.339069
1.50057567639e+12,user6,PebbleTimeSteel,-571.0,-43.0,-726.0,30.6193044,-96.339069
1.50057567643e+12,user6,PebbleTimeSteel,-557.0,-62.0,-722.0,30.6193044,-96.339069
1.50057567647e+12,user6,PebbleTimeSteel,-556.0,-40.0,-737.0,30.6193044,-96.339069
1.50057567651e+12,user6,PebbleTimeSteel,-549.0,-50.0,-728.0,30.6193044,-96.339069
1.50057567655e+12,user6,PebbleTimeSteel,-550.0,-96.0,-744.0,30.6193044,-96.339069
1.50057567659e+12,user6,PebbleTimeSteel,-550.0,-108.0,-741.0,30.6193044,-96.339069
1.50057567663e+12,user6,PebbleTimeSteel,-557.0,-125.0,-746.0,30.6193044,-96.339069
1.50057567667e+12,user6,PebbleTimeSteel,-543.0,-116.0,-745.0,30.6193044,-96.339069
1.50057567671e+12,user6,PebbleTimeSteel,-527.0,-101.0,-756.0,30.6193044,-96.339069
1.50057567675e+12,user6,PebbleTimeSteel,-508.0,-54.0,-775.0,30.6193044,-96.339069
1.50057567679e+12,user6,PebbleTimeSteel,-504.0,-36.0,-763.0,30.6193044,-96.339069
1.50057567683e+12,user6,PebbleTimeSteel,-491.0,-31.0,-775.0,30.6193044,-96.339069
1.50057567687e+12,user6,PebbleTimeSteel,-491.0,-25.0,-791.0,30.6193044,-96.339069
1.50057567691e+12,user6,PebbleTimeSteel,-489.0,-51.0,-785.0,30.6193044,-96.339069
1.50057567695e+12,user6,PebbleTimeSteel,-507.0,-58.0,-766.0,30.6193044,-96.339069
1.50057567699e+12,user6,PebbleTimeSteel,-504.0,-92.0,-780.0,30.6193044,-96.339069
1.50057567703e+12,user6,PebbleTimeSteel,-507.0,-124.0,-782.0,30.6193044,-96.339069
1.50057567707e+12,user6,PebbleTimeSteel,-512.0,-81.0,-772.0,30.6193044,-96.339069
1.50057567711e+12,user6,PebbleTimeSteel,-521.0,-8.0,-755.0,30.6193044,-96.339069
1.50057567715e+12,user6,PebbleTimeSteel,-525.0,33.0,-749.0,30.6193044,-96.339069
