Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long
1.50057612215e+12,user9,motorola-XT1096,-0.459686726332,6.3302693367,7.96790313721,30.6189253,-96.3394807
1.50057612221e+12,user9,motorola-XT1096,-0.63206923008,6.63672733307,7.62313842773,30.6189253,-96.3394807
1.50057612226e+12,user9,motorola-XT1096,-0.277727395296,6.66545772552,7.15387487411,30.6189253,-96.3394807
1.50057612232e+12,user9,motorola-XT1096,-0.756567716599,6.80910968781,7.36456441879,30.6189253,-96.3394807
1.50057612238e+12,user9,motorola-XT1096,-0.4118026793,7.09641361237,6.66545772552,30.6189253,-96.3394807
1.50057612244e+12,user9,motorola-XT1096,-0.679953277111,6.95276165009,6.97191524506,30.6189253,-96.3394807
1.5005761225e+12,user9,motorola-XT1096,-0.459686726332,7.26879644394,6.57926607132,30.6189253,-96.3394807
1.50057612256e+12,user9,motorola-XT1096,-0.344765037298,7.18260526657,6.42603731155,30.6189253,-96.3394807
1.50057612262e+12,user9,motorola-XT1096,-0.48841714859,7.31668043137,6.42603731155,30.6189253,-96.3394807
1.50057612268e+12,user9,motorola-XT1096,-0.239420175552,7.22091245651,6.34942293167,30.6189253,-96.3394807
1.50057612274e+12,user9,motorola-XT1096,-1.52271223068,7.11556768417,7.0772600174,30.6189253,-96.3394807
1.5005761228e+12,user9,motorola-XT1096,-1.33117616177,7.41244840622,6.69418811798,30.6189253,-96.3394807
1.50057612286e+12,user9,motorola-XT1096,-1.36948335171,7.39329481125,6.71334171295,30.6189253,-96.3394807
1.50057612292e+12,user9,motorola-XT1096,-0.794874966145,7.15387487411,6.34942293167,30.6189253,-96.3394807
1.50057612298e+12,user9,motorola-XT1096,-1.2354080677,7.33583402634,6.41646051407,30.6189253,-96.3394807
1.50057612303e+12,user9,motorola-XT1096,-1.59932672977,7.7093296051,6.41646051407,30.6189253,-96.3394807
1.50057612309e+12,user9,motorola-XT1096,-2.43250894547,7.96790313721,6.25365495682,30.6189253,-96.3394807
1.50057612315e+12,user9,motorola-XT1096,-1.4460978508,7.5561003685,5.27682065964,30.6189253,-96.3394807
1.50057612321e+12,user9,motorola-XT1096,-2.03028297424,7.31668043137,6.77080249786,30.6189253,-96.3394807
1.50057612327e+12,user9,motorola-XT1096,-1.95366859436,7.81467437744,5.65989303589,30.6189253,-96.3394807
1.50057612333e+12,user9,motorola-XT1096,-1.12048637867,7.65186882019,5.94719696045,30.6189253,-96.3394807
1.50057612339e+12,user9,motorola-XT1096,-1.02471828461,7.19218206406,6.97191524506,30.6189253,-96.3394807
1.50057612345e+12,user9,motorola-XT1096,0.124498486519,6.86657047272,6.93360805511,30.6189253,-96.3394807
1.50057612351e+12,user9,motorola-XT1096,0.469263523817,6.74207210541,7.2975268364,30.6189253,-96.3394807
1.50057612357e+12,user9,motorola-XT1096,0.679953277111,6.86657047272,6.89530086517,30.6189253,-96.3394807
1.50057612363e+12,user9,motorola-XT1096,0.948103845119,6.3973069191,7.46990919113,30.6189253,-96.3394807
1.50057612369e+12,user9,motorola-XT1096,0.124498486519,6.86657047272,7.13472127914,30.6189253,-96.3394807
